"Table S9: Differential expression statistics for those features that were significant and replicated in case-control comparisons. Based on N=351 independent samples/subjects and linear regression (two-sided p-values), see Methods.",,,,,,,,,,,,,,,,,,,,,,
Feature,Type,Symbol,EntrezID,EnsemblGeneID,AnnoClass,meanExprsAdult,Coordinates,log2FC_adj,pval_adj,fdr_adj,log2FC_qsva,pval_qsva,fdr_qsva,log2FC_pca,pval_pca,fdr_pca,CMC_log2FC_adj,CMC_pval_adj,CMC_log2FC_qsva,CMC_pval_qsva,CMC_log2FC_pca,CMC_pval_pca
e1171949,Exon,SH3BP1,23616,ENSG00000100092,InEns,9.639427763,chr22:38039651-38039795(+),-0.196101994,9.59E-05,0.006604829,-0.228879923,6.80E-08,0.002379396,-0.17201194,7.10E-05,0.024306801,-0.122506912,0.007882988,-0.11795643,0.003887054,-0.100711954,0.005203971
e1172092,Exon,,101927051,ENSG00000233360,InEns,8.5991022,chr22:38039634-38039768(-),-0.17923578,0.000361108,0.013744757,-0.223856436,8.39E-08,0.002542352,-0.167439812,9.42E-05,0.027913981,-0.123781208,0.006771995,-0.121691151,0.00302658,-0.104717955,0.004369061
e1026259,Exon,,NA,ENSG00000267601,InEns,66.20413598,chr17:76851560-76851926(+),0.062288697,0.163735777,0.399436783,0.148705959,8.47E-08,0.002542352,0.148578566,1.36E-09,0.000160921,0.034368924,0.48279411,0.075483392,0.015264769,0.047704901,0.047642353
e581400,Exon,NXNL2,158046,ENSG00000130045,InEns,0.38263408,chr9:91159294-91159895(+),0.182700208,8.81E-12,7.73E-07,0.139594854,9.22E-08,0.002582727,0.121139658,3.04E-06,0.005902598,0.026000394,0.061845015,0.029348378,0.029212233,0.034337748,0.013695495
ENSG00000165349,Gene,SLC7A3,84889,ENSG00000165349,InEns,0.525405782,chrX:70145432-70150975(-),0.086278247,2.53E-05,0.001867862,0.105549827,1.02E-07,0.000408139,0.084007371,2.54E-05,0.035971028,0.031757272,0.036825646,0.034627438,0.009457562,0.019340323,0.13038536
e765103,Exon,RAB21,23011,ENSG00000080371,InEns,11.15990132,chr12:72179311-72184699(+),0.075214747,0.022316784,0.132886389,0.08127335,2.05E-07,0.005070436,0.082351919,1.98E-08,0.000462748,0.090101479,0.010774811,0.058895166,0.000633838,0.035059837,0.020807892
ENSG00000078177,Gene,N4BP2,55728,ENSG00000078177,InEns,0.375171296,chr4:40058446-40159872(+),0.056627833,0.000163006,0.005851231,0.05215254,2.24E-07,0.000772736,0.03601351,7.27E-05,0.03813783,0.075289986,0.005227213,0.038449269,0.033541306,0.002028652,0.888096653
e1172079,Exon,SH3BP1,23616,ENSG00000100092,InEns,14.77238155,chr22:38039721-38039795(+),-0.189323447,0.000771003,0.02084717,-0.241049994,2.41E-07,0.005317207,-0.178394378,0.000196644,0.038590572,-0.140223165,0.007422723,-0.129749851,0.00602353,-0.118516107,0.005688605
e407649,Exon,ANKRD6,22881,ENSG00000135299,InEns,8.090177197,chr6:90340152-90343553(+),0.028395618,0.49281551,0.717407123,0.091483534,2.86E-07,0.006015478,0.111232266,3.12E-09,0.000172818,0.108280673,0.000263714,0.088760233,2.02E-05,0.08453429,1.43E-05
er64236,ER,,NA,ENSG00000273301,Novel,702.08682,chr2:226563588-226568288(*),0.07060847,0.441577195,0.713994065,0.160521136,3.27E-07,0.011262878,0.179323815,3.79E-10,5.22E-05,0.200710714,0.001348383,0.15541816,3.09E-05,0.071910334,0.008216517
e407783,Exon,ANKRD6,22881,ENSG00000135299,InEns,8.295195784,chr6:90340152-90343373(+),0.029159796,0.485291983,0.71180282,0.091479425,3.90E-07,0.006637014,0.111882361,3.66E-09,0.000172818,0.108503856,0.000235401,0.089327773,2.43E-05,0.085479238,1.76E-05
er86111,ER,PHC3,80012,ENSG00000173889,AltStartEnd,2348.382644,chr3:169805387-169809944(*),0.120664965,0.011512037,0.119016502,0.103101612,4.92E-07,0.01357856,0.07648792,3.56E-06,0.012266504,0.089617076,0.036344881,0.053895396,0.012314197,0.026983781,0.10263414
e107017,Exon,KCNK1,3775,ENSG00000135750,InEns,58.26309758,chr1:233802341-233802736(+),-0.215346465,4.20E-05,0.004093766,-0.121073951,5.86E-07,0.008785717,-0.112069994,3.43E-06,0.006069558,-0.130674552,0.005328738,-0.113255994,0.000396596,-0.092348678,0.000577644
ENSG00000080371,Gene,RAB21,23011,ENSG00000080371,InEns,10.48985054,chr12:72148654-72184699(+),0.068964046,0.01607672,0.107305654,0.073495932,6.21E-07,0.001448928,0.05105743,2.11E-05,0.034111347,0.083074711,0.008290764,0.051356965,0.001210063,0.012362312,0.188464936
ENSG00000184922,Gene,FMNL1,752,ENSG00000184922,InEns,5.604534768,chr17:43298811-43324687(+),-0.062378574,0.087292969,0.285826116,-0.11160584,6.61E-07,0.001448928,-0.044591538,0.001578411,0.136467527,-0.038447904,0.057964319,-0.024396734,0.028284775,-0.006663617,0.42872277
e1026258,Exon,TIMP2,7077,ENSG00000035862,InEns,65.50352005,chr17:76851624-76851946(-),0.055804373,0.211858164,0.460129283,0.139549613,6.69E-07,0.009240419,0.141003389,6.83E-09,0.000274396,0.046058777,0.339250894,0.077709853,0.014079527,0.045818801,0.057474049
er36367,ER,KCNK1,3775,ENSG00000135750,InEns,1331.733385,chr1:233802341-233802736(*),-0.215945452,0.000131424,0.011895617,-0.13143334,7.24E-07,0.016056014,-0.133212943,6.91E-07,0.005198279,-0.152481817,0.002807009,-0.128543309,0.000174115,-0.096938593,0.003586834
e1171945,Exon,SH3BP1,23616,ENSG00000100092,InEns,4.422212904,chr22:38037381-38037485(+),-0.221122816,5.62E-05,0.00487397,-0.234022737,9.62E-07,0.009913125,-0.17468928,0.000164748,0.035798071,-0.145206217,0.005605993,-0.114255596,0.014534652,-0.086981675,0.050513447
e262808,Exon,PHC3,80012,ENSG00000173889,InEns,4.816122743,chr3:169805372-169815172(-),0.075364573,0.033545308,0.166785869,0.075434006,1.02E-06,0.009913125,0.084869832,6.63E-07,0.002899375,0.073390106,0.019015059,0.043774626,0.006758574,0.007747468,0.560868764
e1000508,Exon,NSFP1,728806,ENSG00000260075,InEns,43.27823129,chr17:44554138-44554325(+),0.536186415,0.022127033,0.132272184,1.065657882,1.05E-06,0.009913125,0.894109232,2.27E-05,0.014621423,0.343936901,0.012793611,0.354963927,0.012075121,0.317322465,0.032388598
e1171952,Exon,SH3BP1,23616,ENSG00000100092,InEns,5.893260921,chr22:38041372-38041517(+),-0.19012033,0.000111777,0.007210141,-0.227195261,1.06E-06,0.009913125,-0.172828893,0.000170685,0.03631443,-0.10168687,0.018629303,-0.076020938,0.044272411,-0.073024464,0.049876262
e262897,Exon,,NA,ENSG00000268220,InEns,10.95445968,chr3:169805598-169807378(+),0.127201359,0.015839778,0.109981373,0.099236535,1.16E-06,0.009913125,0.107886601,8.65E-08,0.001253069,0.077774613,0.041438413,0.045027095,0.022094606,0.023272791,0.207118081
e1171957,Exon,SH3BP1,23616,ENSG00000100092,InEns,5.862550148,chr22:38046093-38046256(+),-0.114054624,0.037358298,0.177060823,-0.228633842,1.22E-06,0.009913125,-0.165274194,0.000220414,0.040626117,-0.102880694,0.004730821,-0.070206366,0.027231165,-0.065723544,0.039560365
e1171976,Exon,SH3BP1,23616,ENSG00000100092,InEns,9.708868169,chr22:38046159-38046256(+),-0.122251294,0.037779166,0.178174014,-0.245666825,1.23E-06,0.009913125,-0.177771431,0.000219213,0.040561316,-0.142594861,0.003259689,-0.098811249,0.019305855,-0.091356004,0.032340628
er243679,ER,RAB21,23011,ENSG00000080371,InEns,4034.18814,chr12:72179311-72184389(*),0.085686094,0.021177214,0.163142957,0.087100267,1.28E-06,0.018083515,0.069441951,9.20E-06,0.018397733,0.098967776,0.014282299,0.065953784,0.000925884,0.037881709,0.020065676
er372939,ER,SH3BP1,23616,ENSG00000100092,AltStartEnd,16.2411165,chr22:38043274-38043355(*),-0.250009029,4.88E-05,0.00692428,-0.304855517,1.40E-06,0.018083515,-0.246524427,2.13E-05,0.026620243,-0.21244531,0.008877151,-0.182263189,0.015463546,-0.112954243,0.15255633
er372942,ER,SH3BP1,23616,ENSG00000100092,AltStartEnd,33.42318034,chr22:38046159-38046256(*),-0.128000079,0.055864656,0.264764746,-0.279912627,1.44E-06,0.018083515,-0.200073711,0.000103613,0.052896534,-0.258254674,0.002788935,-0.186646656,0.015136598,-0.145147344,0.081859193
e1171954,Exon,SH3BP1,23616,ENSG00000100092,InEns,5.895037224,chr22:38043274-38043355(+),-0.205247328,0.000100997,0.00680021,-0.256216897,1.46E-06,0.010911291,-0.17871047,0.000380339,0.051968327,-0.117040237,0.01495551,-0.096283983,0.027192357,-0.089732868,0.037933504
e1172046,Exon,SH3BP1,23616,ENSG00000100092,InEns,4.646865188,chr22:38037389-38037485(+),-0.222195827,6.84E-05,0.00545821,-0.23475355,1.53E-06,0.010923781,-0.172425447,0.000282149,0.045257634,-0.144742827,0.007177604,-0.111426261,0.020026999,-0.082147372,0.071764872
er372934,ER,SH3BP1,23616,ENSG00000100092,AltStartEnd,57.50831453,chr22:38039651-38039795(*),-0.193017811,0.000675428,0.027723752,-0.232860727,1.58E-06,0.018193011,-0.174443704,0.000134087,0.059077056,-0.190704412,0.003707741,-0.185288742,0.002058475,-0.110331449,0.043231102
e1172048,Exon,SH3BP1,23616,ENSG00000100092,InEns,5.750856499,chr22:38038906-38039013(+),-0.246785811,4.03E-06,0.001070712,-0.233081772,2.13E-06,0.013249051,-0.181120313,0.000121354,0.030984234,-0.107490976,0.02339011,-0.085577765,0.039932919,-0.058388637,0.146011128
er99524,ER,CXXC4,80319,ENSG00000168772,InEns,1356.29314,chr4:105389481-105393523(*),-0.004899751,0.93308315,0.975340787,0.148525553,2.16E-06,0.018264121,0.117123648,3.09E-05,0.031505721,0.126358995,0.021865765,0.075436608,0.01763449,0.036054677,0.189766602
e304018,Exon,CXXC4,80319,ENSG00000168772,InEns,4.866432285,chr4:105389469-105393523(-),-0.008463086,0.848853273,0.933008448,0.116417439,2.16E-06,0.013249051,0.123503951,5.25E-07,0.002594498,0.1051223,0.01893249,0.062747028,0.015037571,0.028071901,0.193429353
er315803,ER,FMNL1,752,ENSG00000184922,InEns,129.2054315,chr17:43319708-43319832(*),-0.163732225,0.002365617,0.053659243,-0.168365261,2.17E-06,0.018264121,-0.112100609,0.000371346,0.087413576,-0.192439915,0.015275851,-0.148232456,0.010874488,-0.063563404,0.265498998
e1171947,Exon,SH3BP1,23616,ENSG00000100092,InEns,5.668011667,chr22:38038902-38039013(+),-0.244461354,4.64E-06,0.0011531,-0.230759209,2.33E-06,0.013249051,-0.178438131,0.000143845,0.033417174,-0.116994139,0.012856054,-0.09490276,0.022568263,-0.069717858,0.083138081
e107036,Exon,KCNK1,3775,ENSG00000135750,InEns,101.0894339,chr1:233802341-233802432(+),-0.22421038,0.000160364,0.008790994,-0.127805332,2.37E-06,0.01329435,-0.120257144,1.65E-05,0.012452264,-0.135241847,0.00881507,-0.115037752,0.000937469,-0.090915491,0.001903805
er315814,ER,FMNL1,752,ENSG00000184922,AltStartEnd,912.9571922,chr17:43323577-43324669(*),-0.044925458,0.358852616,0.648849163,-0.161698169,2.42E-06,0.019062242,-0.079511208,0.002319873,0.168825717,-0.18559831,0.008820762,-0.130020038,0.006044014,0.004536329,0.909644316
e1171956,Exon,SH3BP1,23616,ENSG00000100092,InEns,7.622994552,chr22:38044326-38044442(+),-0.127117523,0.01380387,0.101796632,-0.219662297,2.46E-06,0.013459077,-0.150016402,0.00087279,0.072863553,-0.117850844,0.008484909,-0.085789874,0.027828629,-0.075122724,0.04955741
ENSG00000169432,Gene,SCN9A,6335,ENSG00000169432,InEns,0.433573211,chr2:167051695-167232503(-),0.039026176,0.020461532,0.123852379,0.062041038,2.73E-06,0.004387441,0.046829569,0.000237308,0.066906568,0.091786579,3.35E-06,0.07131868,1.42E-05,0.034220275,0.024415787
e1172031,Exon,SH3BP1,23616,ENSG00000100092,InEns,2.102620343,chr22:38038546-38038744(+),-0.203364351,6.19E-06,0.001374704,-0.192667953,2.75E-06,0.013459077,-0.164806306,4.10E-05,0.019074867,-0.101647113,0.003528243,-0.085374269,0.008220563,-0.067745858,0.036122942
e405155,Exon,PHIP,55023,ENSG00000146247,InEns,6.529023886,chr6:79645584-79651047(-),0.069081072,0.130588938,0.352956719,0.081482585,2.75E-06,0.013459077,0.114276724,1.06E-08,0.000319353,0.091406766,0.020744157,0.068580805,0.000443129,0.050180632,0.003158612
e999357,Exon,FMNL1,752,ENSG00000184922,InEns,37.17098864,chr17:43322346-43322475(+),-0.09211445,0.059693234,0.22921307,-0.158823688,2.78E-06,0.013459077,-0.12024422,0.000142174,0.033394603,-0.102199678,0.059809058,-0.07373867,0.040242868,-0.026403417,0.42964496
e862316,Exon,MGA,23269,ENSG00000174197,InEns,4.537747696,chr15:42058202-42062139(+),0.087495542,0.000159225,0.008754816,0.069237956,2.83E-06,0.013459077,0.07476037,4.97E-07,0.002544561,0.05372192,0.01810161,0.031626321,0.049398976,0.001970439,0.890034746
e503184,Exon,ATRX,546,ENSG00000085224,InEns,16.47442659,chrX:76760378-76764107(-),0.011672245,0.82968832,0.923588976,0.076118237,2.83E-06,0.013459077,0.088573663,5.36E-08,0.000995586,0.070721681,0.119503339,0.044731844,0.024211447,0.022293441,0.15887691
e862223,Exon,MGA,23269,ENSG00000174197,InEns,4.535533019,chr15:42058202-42062141(+),0.087492057,0.000159055,0.008749587,0.069216481,2.85E-06,0.013459077,0.074743967,4.99E-07,0.002544561,0.053707571,0.018120176,0.031612355,0.049471523,0.001958572,0.890676195
e862248,Exon,MGA,23269,ENSG00000174197,InEns,4.539879356,chr15:42058202-42062137(+),0.087475308,0.000160002,0.008774169,0.06921249,2.86E-06,0.013459077,0.074733776,5.03E-07,0.002544561,0.053702995,0.018151755,0.0316052,0.049585746,0.001941775,0.89163571
e503150,Exon,ATRX,546,ENSG00000085224,InEns,16.38103213,chrX:76760356-76764107(-),0.011613094,0.83046368,0.924025123,0.076027596,2.87E-06,0.013459077,0.088480351,5.45E-08,0.000995586,0.070720082,0.119226831,0.044730059,0.024100005,0.022321669,0.158020714
e862293,Exon,MGA,23269,ENSG00000174197,InEns,4.541647616,chr15:42058202-42062135(+),0.087491362,0.000159796,0.008768973,0.069196971,2.88E-06,0.013459077,0.074741483,5.03E-07,0.002544561,0.05376067,0.018057167,0.03165554,0.049276738,0.001990044,0.888980137
chr17:76853729-76866979(*),Junction,TIMP2,7077,ENSG00000035862,InEns,434.2446337,chr17:76853729-76866979(*),0.044639563,0.381893836,0.682561845,0.153062158,2.92E-06,0.054600083,0.132002927,2.18E-06,0.019255315,0.071999964,0.240002484,0.106699499,0.004508016,0.067022782,0.054918154
e501083,Exon,SLC7A3,84889,ENSG00000165349,InEns,0.81350597,chrX:70145438-70145793(-),0.151811226,6.97E-06,0.001460318,0.152524728,2.99E-06,0.013667315,0.136055773,5.74E-05,0.021836599,0.069244511,0.00068232,0.073666645,0.000202471,0.057979052,0.004614508
e501071,Exon,SLC7A3,84889,ENSG00000165349,InEns,0.800022445,chrX:70145432-70145793(-),0.150417491,6.96E-06,0.001459745,0.151111132,2.99E-06,0.013667315,0.134775817,5.77E-05,0.021865582,0.068165355,0.000712718,0.072515636,0.000213487,0.056864685,0.00490226
ENSG00000273301,Gene,,NA,ENSG00000273301,InEns,2.009124482,chr2:226563230-226568370(+),0.011003559,0.804219969,0.913093308,0.089951626,3.25E-06,0.004898088,0.064119687,3.13E-05,0.036481971,0.135647387,0.000958557,0.104785251,1.76E-05,0.041488553,0.010553433
er386153,ER,STAG2,10735,ENSG00000101972,AltStartEnd,1009.344253,chrX:123509771-123514536(*),0.008312993,0.910488649,0.96667742,0.150149937,3.40E-06,0.024047205,0.17471903,1.56E-08,0.000716914,0.134603541,0.009062636,0.109584287,0.000309999,0.042090059,0.120679589
e199671,Exon,PASK,23178,ENSG00000115687,InEns,1.655468679,chr2:242079989-242080168(-),-0.16657513,0.002372304,0.038721349,-0.194022583,3.45E-06,0.01490409,-0.166609161,9.03E-05,0.027365033,-0.069614286,0.099108427,-0.069872632,0.037019529,-0.050377186,0.116085066
e586322,Exon,GRIN3A,116443,ENSG00000198785,InEns,2.637388775,chr9:104375658-104375809(-),-0.053616235,0.443391002,0.679125616,0.208254252,3.48E-06,0.01490409,0.194548551,6.42E-06,0.007984216,0.113243993,0.011589805,0.10601438,0.00299245,0.090867827,0.008480069
ENSG00000168772,Gene,CXXC4,80319,ENSG00000168772,InEns,3.617471571,chr4:105389469-105416058(-),-0.006265787,0.86760002,0.943912171,0.106770732,3.64E-06,0.005171713,0.072738133,6.50E-05,0.036481971,0.096983776,0.015513541,0.059107719,0.014063617,0.011887731,0.479689531
er77622,ER,GXYLT2,727936,ENSG00000172986,InEns,61.61048328,chr3:73025142-73025940(*),0.166518634,0.003000299,0.060547306,0.227277029,3.67E-06,0.024909269,0.179958788,0.000143539,0.060271338,0.104097706,0.02367285,0.107532191,0.01632707,0.130072095,0.001298793
e1026239,Exon,TIMP2,7077,ENSG00000035862,InEns,92.14255532,chr17:76853604-76853728(-),0.037158188,0.451653128,0.685645762,0.136204969,3.86E-06,0.015698067,0.136795765,7.13E-08,0.001068821,0.084329095,0.115530537,0.110180128,0.000651182,0.083144911,0.001584323
e191573,Exon,,NA,ENSG00000273301,InEns,2.030133841,chr2:226563230-226568370(+),0.009473254,0.831347615,0.924430711,0.089348132,3.86E-06,0.015698067,0.113564851,1.21E-08,0.000338598,0.13561369,0.000901431,0.105170332,1.57E-05,0.065083438,0.000661494
e586326,Exon,GRIN3A,116443,ENSG00000198785,InEns,2.685740252,chr9:104375658-104375804(-),-0.052975054,0.451784603,0.68575781,0.209008466,3.89E-06,0.015698067,0.194909712,7.27E-06,0.008482467,0.112060191,0.013270092,0.104118918,0.003741087,0.087881128,0.011230033
er329853,ER,MC4R,4160,ENSG00000166603,InEns,7.615357208,chr18:58039830-58039949(*),0.226210933,0.020428992,0.160323221,0.453843595,3.94E-06,0.024909269,0.336829117,0.000525664,0.098924868,0.372299191,5.85E-06,0.305310158,4.68E-05,0.206810922,0.008227588
e999352,Exon,FMNL1,752,ENSG00000184922,InEns,24.6268803,chr17:43319708-43319832(+),-0.151059411,0.002551567,0.040295994,-0.151328386,4.53E-06,0.017765052,-0.125595896,0.000135883,0.032819824,-0.131445035,0.015215418,-0.101810453,0.008930507,-0.061460385,0.097613684
e578034,Exon,ALDH1A1,216,ENSG00000165092,InEns,68.27754844,chr9:75520874-75520948(-),-0.088354491,0.154805752,0.387551387,-0.240328014,4.73E-06,0.018404435,-0.232742898,2.34E-07,0.001886186,-0.244094586,0.00010942,-0.274489599,4.26E-07,-0.194686161,6.60E-05
e1171946,Exon,SH3BP1,23616,ENSG00000100092,InEns,5.369582212,chr22:38038546-38038622(+),-0.264832402,8.29E-06,0.001618725,-0.247495959,4.93E-06,0.018741943,-0.208872499,7.61E-05,0.0252582,-0.17256025,0.001422902,-0.145542389,0.003402386,-0.110624023,0.026291203
er185138,ER,ALDH1A1,216,ENSG00000165092,InEns,148.4891093,chr9:75520874-75520948(*),-0.09926293,0.127226916,0.396519473,-0.244341483,4.97E-06,0.027994056,-0.237670582,3.07E-07,0.003852838,-0.233415997,0.000398579,-0.26352927,3.68E-06,-0.094206191,0.079015514
er188514,ER,GRIN3A,116443,ENSG00000198785,InEns,17.660467,chr9:104375658-104375809(*),-0.036332885,0.757842403,0.900252542,0.362862047,5.10E-06,0.028146529,0.338089421,1.68E-05,0.023658995,0.123477772,0.023369046,0.119321912,0.007844992,0.084426924,0.06039964
e283697,Exon,MED28,80306,ENSG00000118579,InEns,7.04098009,chr4:17625224-17635728(+),0.019883219,0.453104798,0.686868471,0.07576321,5.13E-06,0.018741943,0.068529618,0.000470957,0.056566247,0.028930307,0.122386784,0.02883593,0.021306414,0.012695703,0.284227198
e624332,Exon,SUPV3L1,6832,ENSG00000156502,InEns,11.02375731,chr10:70951411-70951522(+),-0.146018954,1.06E-05,0.001877327,-0.1260548,5.54E-06,0.019881286,-0.124067327,2.11E-05,0.014228733,-0.018228259,0.584183247,-0.053389743,0.047226088,-0.058341336,0.020720675
e999456,Exon,,NA,ENSG00000233175,InEns,40.65858079,chr17:43318478-43318564(-),-0.166877983,0.00788253,0.074670179,-0.155311746,5.65E-06,0.020110322,-0.13816455,4.75E-05,0.020239948,-0.117852736,0.027932695,-0.085299495,0.04061382,-0.050014668,0.202757348
er372933,ER,SH3BP1,23616,ENSG00000100092,AltStartEnd,19.37680163,chr22:38039105-38039181(*),-0.273164608,1.98E-06,0.001221707,-0.252842206,5.81E-06,0.028725691,-0.212854649,4.29E-05,0.036885546,-0.138344217,0.046263786,-0.132980893,0.034301958,-0.040866739,0.504255064
er202802,ER,SUPV3L1,6832,ENSG00000156502,InEns,47.78484963,chr10:70951411-70951524(*),-0.158636382,3.91E-05,0.006232861,-0.148062486,6.01E-06,0.028725691,-0.14809474,8.15E-06,0.017299074,-0.013724485,0.748838425,-0.068027423,0.036289898,-0.030873522,0.339322905
er185147,ER,ALDH1A1,216,ENSG00000165092,InEns,168.3279809,chr9:75545795-75545935(*),-0.097686732,0.15066787,0.430858686,-0.282604013,6.15E-06,0.028742741,-0.276040854,1.04E-07,0.002079575,-0.257508729,7.44E-06,-0.285185129,1.21E-08,-0.160979862,0.001767401
e165799,Exon,SCN9A,6335,ENSG00000169432,InEns,0.76270934,chr2:167051706-167056374(-),0.057699991,0.024421491,0.139609971,0.087407354,6.59E-06,0.022862891,0.100515365,2.23E-07,0.001886186,0.101609866,9.93E-07,0.081665183,2.04E-06,0.06345478,0.000210842
e165772,Exon,SCN9A,6335,ENSG00000169432,InEns,0.760933664,chr2:167051695-167056374(-),0.057600167,0.024473939,0.13977367,0.087255762,6.64E-06,0.022862891,0.100339038,2.26E-07,0.001886186,0.101337995,1.03E-06,0.081407814,2.12E-06,0.063260095,0.000215589
er7035,ER,TMEM200B,NA,NA,Novel,0.76677914,chr1:29455490-29455501(*),-0.234277987,3.84E-07,0.000543209,-0.189424083,7.09E-06,0.03104642,-0.198732869,2.28E-06,0.009847642,-0.071119875,0.000168351,-0.059903808,0.000813682,-0.046364011,0.015259166
ENSG00000007171,Gene,NOS2,4843,ENSG00000007171,InEns,2.001134106,chr17:26083792-26127525(-),-0.053126208,0.172950474,0.420386067,-0.124655817,7.14E-06,0.008662104,-0.109552498,5.93E-05,0.036481971,-0.037859913,0.065484684,-0.035189923,0.035590062,-0.007405558,0.650716183
ENSG00000164068,Gene,RNF123,63891,ENSG00000164068,InEns,4.996924982,chr3:49726932-49758962(+),-0.057293205,0.139265501,0.373596769,-0.053034747,7.18E-06,0.008662104,-0.035779578,0.002330031,0.155536402,-0.055763115,0.029369714,-0.031486262,0.02778878,-0.008226013,0.363073069
chr9:137982191-137987709(*),Junction,OLFM1,10439,ENSG00000130558,InEns,4160.43588,chr9:137982191-137987709(*),-0.069761267,0.177282741,0.482567925,-0.124152381,7.19E-06,0.077333701,-0.075968221,0.002273588,0.252940558,-0.069528112,0.201109087,-0.093894774,0.001378117,-0.018705033,0.395215568
er372930,ER,SH3BP1,23616,ENSG00000100092,InEns,16.48986436,chr22:38037381-38037485(*),-0.272724504,3.98E-05,0.00628875,-0.271787645,7.26E-06,0.031278607,-0.189649321,0.000745436,0.109538702,-0.218853982,0.012592542,-0.16848319,0.028871902,-0.090119487,0.234777316
er136035,ER,AKIRIN2,55122,ENSG00000135334,AltStartEnd,328.7663042,chr6:88408181-88410634(*),0.174295639,0.008812272,0.104096807,0.170306578,8.20E-06,0.034010828,0.140597291,1.41E-05,0.022555953,0.094285438,0.075120146,0.099528643,0.001733855,0.045348742,0.128121838
er189313,ER,ZNF483,158399,ENSG00000173258,AltStartEnd,10991.08227,chr9:114306074-114316011(*),0.051377038,0.41785865,0.69617874,0.116908506,8.50E-06,0.034470955,0.073885707,0.000918661,0.117716994,0.096493078,0.050059148,0.071519403,0.005454194,0.034339841,0.062630727
