Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Genes
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_BASED_PROCESS	58/407	0.16253554842599024	0.9964544870876761	1.1512811259473115	ARHGEF17;CORO7;STAU2;SCN2B;CFL2;SORBS3;FGF13;ZYX;ACTN4;SORBS1;MYO19;ARHGEF18;FRMD5;EFNA5;TNF;ARHGAP26;RHOBTB2;CCL27;INA;SLC9A1;CDC42BPA;JMY;MYO15A;SCN4B;ARHGEF11;EPB41L1;SHROOM2;SPTBN4;C9orf72;FMN1;MAGEL2;FGF12;ADD1;SCN1A;ELMO3;CORO6;FES;EPB41;GAS2;RHOBTB1;EHD2;GJC1;RICTOR;SPECC1;MKLN1;SCN1B;SIX4;FGF7;NEB;PPARGC1B;EPB41L3;CIT;PIK3CA;KCNJ3;SSH3;PDCD6IP;SPECC1L;NCK2
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	3/11	0.15103849030080738	0.9964544870876761	2.4270100803378982	ACTN4;MYO15A;MYO19
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	7/78	0.8744354484526922	0.9964544870876761	0.7585189881930234	ARHGEF18;ADD1;SORBS3;ZYX;SLC9A1;SORBS1;SHROOM2
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	4/25	0.38564793694146327	0.9964544870876761	1.4061919504643963	CFL2;ADD1;PIK3CA;SPTBN4
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_ORGANIZATION	28/210	0.3963017594396466	0.9964544870876761	1.0797279937341937	CORO7;CFL2;SORBS3;ZYX;NCK2;SORBS1;MYO19;ARHGEF18;RHOBTB2;SLC9A1;JMY;MYO15A;SPTBN4;SHROOM2;C9orf72;FMN1;MAGEL2;ADD1;CORO6;ELMO3;GAS2;RHOBTB1;RICTOR;PPARGC1B;CIT;PIK3CA;SSH3;NEB
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_POLYMERIZATION	7/65	0.7239160535476534	0.9964544870876761	0.9105615234937193	RICTOR;FMN1;CORO7;ADD1;SSH3;NCK2;SPTBN4
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_SEVERING	1/11	0.7716183425605219	0.9964544870876761	1.038067922560459	CFL2
CUSTOM47281618358528	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	10/55	0.14501117007287304	0.9964544870876761	1.5109375638876394	SCN1B;SCN2B;FGF12;FGF13;SLC9A1;SCN1A;PIK3CA;KCNJ3;SCN4B;GJC1
CUSTOM47281618358528	GOBP_ACTIN_NUCLEATION	3/20	0.4678511767515684	0.9964544870876761	1.3599545659953345	MAGEL2;FMN1;JMY
CUSTOM47281618358528	GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	1/5	0.4887894189012285	0.9964544870876761	2.1721412021262094	JMY
CUSTOM47281618358528	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	10/84	0.6214873880406319	0.9964544870876761	0.988756501266684	RICTOR;CORO7;FMN1;CFL2;ADD1;CIT;PIK3CA;SSH3;NCK2;SPTBN4
CUSTOM47281618358528	GOBP_ACTION_POTENTIAL	18/84	0.015013039164737911	0.9964544870876761	1.756265360700072	SCN1B;KCNA1;SCN2B;FGF12;TNF;HCN2;KCNB1;CNTNAP1;KCNH6;FGF13;SCN1A;SCN8A;SLC8A1;SLC9A1;KCNJ3;SCN4B;GJC1;KCNA2
CUSTOM47281618358528	GOBP_ACTIVATED_T_CELL_PROLIFERATION	1/15	0.8665827498796589	0.9964544870876761	0.769792523093292	CD274
CUSTOM47281618358528	GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	2/9	0.3147224527802513	0.9964544870876761	2.096969537400279	BAK1;GRIN2A
CUSTOM47281618358528	GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	4/35	0.6564565269252645	0.9964544870876761	1.0088107592925977	BAK1;BID;NKX3-1;TNF
CUSTOM47281618358528	GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	BAK1
CUSTOM47281618358528	GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	5/49	0.7538732145135498	0.9964544870876761	0.8835925740090316	RASGRF1;TBC1D30;TBC1D16;RCC2;TBC1D4
CUSTOM47281618358528	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	8/126	0.99262562169358	0.999081370053968	0.5307522612395591	DENND1B;VAV3;HEXIM1;IGLL1;C1RL;PIK3CA;PRKCB;GPLD1
CUSTOM47281618358528	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	1/21	0.9404608603162434	0.9964544870876761	0.554548307241728	HEXIM1
CUSTOM47281618358528	GOBP_ACTIVATION_OF_MEIOSIS	1/2	0.23534874254591304	0.9964544870876761	4.7805097451274365	PLCB1
CUSTOM47281618358528	GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	7/55	0.5457349374403877	0.9964544870876761	1.0759854877501935	NRG1;EFNA5;GAS6;STRADA;FGF13;PIK3CA;CAB39
CUSTOM47281618358528	GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	2/14	0.5400614775030134	0.9964544870876761	1.3730140932535233	NRG1;GAS6
CUSTOM47281618358528	GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY	1/3	0.33137382204636207	0.9964544870876761	3.414221460698222	STIM2
CUSTOM47281618358528	GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	2/8	0.2653956513644312	0.9964544870876761	2.3439661006974077	NRG1;EFNA5
CUSTOM47281618358528	GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	4/18	0.18168136921699551	0.9964544870876761	1.9399715504978663	ACVR1C;DACT2;FGF9;CITED2
CUSTOM47281618358528	GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	1/3	0.33137382204636207	0.9964544870876761	3.414221460698222	PDCD6IP
CUSTOM47281618358528	GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	15/100	0.2693718434641674	0.9964544870876761	1.230938566165624	ARHGEF18;FRMD5;SIX4;PDCD6IP;CFL2;EPB41L3;SORBS3;CIT;ZYX;SLC9A1;CDC42BPA;EPB41;SORBS1;EPB41L1;NEB
CUSTOM47281618358528	GOBP_ACUTE_INFLAMMATORY_RESPONSE	2/42	0.9751516279724962	0.9974064497845417	0.4667922196392314	APOL2;TNF
CUSTOM47281618358528	GOBP_ACUTE_PHASE_RESPONSE	2/19	0.7089788447685603	0.9964544870876761	1.0203178512333089	APOL2;TNF
CUSTOM47281618358528	GOBP_ACYLGLYCEROL_HOMEOSTASIS	1/12	0.8003309824831967	0.9964544870876761	0.9549025487256372	RORA
CUSTOM47281618358528	GOBP_ADAPTATION_OF_SIGNALING_PATHWAY	1/13	0.8254369599358337	0.9964544870876761	0.8840579710144928	ADM
CUSTOM47281618358528	GOBP_ADAPTIVE_IMMUNE_RESPONSE	16/164	0.890404272212567	0.9964544870876761	0.7948490189819248	DENND1B;ZBTB1;TNF;CD274;IGLL1;C1RL;RNF168;PRKCB;PAG1;GNL1;LAG3;SOCS5;CTSC;CLEC4M;RORA;BCL3
CUSTOM47281618358528	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	12/118	0.8222743212809492	0.9964544870876761	0.8374322794404538	DENND1B;ZBTB1;TNF;CD274;IGLL1;C1RL;RNF168;CTSC;GNL1;SOCS5;RORA;BCL3
CUSTOM47281618358528	GOBP_ADAPTIVE_THERMOGENESIS	9/81	0.7030623430077183	0.9964544870876761	0.9269366877346974	PPARGC1A;PPARGC1B;SLC25A5;ADAMTS5;UCP3;GNAS;NR1H2;SORL1;ESRRG
CUSTOM47281618358528	GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	2/18	0.6799511937573359	0.9964544870876761	1.075605370252694	ADCY9;CHGA
CUSTOM47281618358528	GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	1/6	0.5530115313089603	0.9964544870876761	1.8377349786645139	CHGA
CUSTOM47281618358528	GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	1/5	0.4887894189012285	0.9964544870876761	2.1721412021262094	GNAS
CUSTOM47281618358528	GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	8/68	0.6334382972889765	0.9964544870876761	0.9873925038296372	MC1R;PDE4A;GALR1;GNAS;CHGA;ADM;ADCY9;GPR161
CUSTOM47281618358528	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1/43	0.9969271425296807	0.999081370053968	0.2733288528149718	HTR1F
CUSTOM47281618358528	GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	1/6	0.5530115313089603	0.9964544870876761	1.8377349786645139	HTR1F
CUSTOM47281618358528	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	9/116	0.9638546777741335	0.9964544870876761	0.645582209922055	MC1R;PDE4A;GALR1;GNAS;CHGA;ADM;ADCY9;HTR1F;GPR161
CUSTOM47281618358528	GOBP_ADHERENS_JUNCTION_ORGANIZATION	2/27	0.8701299088050531	0.9964544870876761	0.7227704761471645	CDH7;ADD1
CUSTOM47281618358528	GOBP_ADHESION_OF_SYMBIONT_TO_HOST	2/8	0.2653956513644312	0.9964544870876761	2.3439661006974077	CLEC4M;GAS6
CUSTOM47281618358528	GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	2/7	0.21604495130570012	0.9964544870876761	2.6568284142071037	CLEC4M;GAS6
CUSTOM47281618358528	GOBP_ADIPOSE_TISSUE_DEVELOPMENT	5/18	0.06544794644543736	0.9964544870876761	2.37345574375178	PPARGC1A;PIK3CA;PPARD;SPART;SORL1
CUSTOM47281618358528	GOBP_ADP_BIOSYNTHETIC_PROCESS	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	AK2
CUSTOM47281618358528	GOBP_ADP_METABOLIC_PROCESS	4/37	0.6999489588807535	0.9964544870876761	0.954766917293233	ZBTB7A;AK2;OGDHL;TIGAR
CUSTOM47281618358528	GOBP_ADP_TRANSPORT	2/3	0.043298583543609825	0.9964544870876761	5.696062316872722	SLC25A5;SLC25A17
CUSTOM47281618358528	GOBP_ADRENAL_GLAND_DEVELOPMENT	1/16	0.8833646884656534	0.9964544870876761	0.7230475671255281	CITED2
CUSTOM47281618358528	GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	2/21	0.7604303288148159	0.9964544870876761	0.9251718882697163	ADCY9;CHGA
CUSTOM47281618358528	GOBP_ADRENOMEDULLIN_RECEPTOR_SIGNALING_PATHWAY	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	ADM
CUSTOM47281618358528	GOBP_ADULT_BEHAVIOR	5/66	0.9299566311114834	0.9964544870876761	0.656300812241341	FGF12;SCN1A;INPP5F;CEND1;SPTBN4
CUSTOM47281618358528	GOBP_ADULT_LOCOMOTORY_BEHAVIOR	5/39	0.5523348632660804	0.9964544870876761	1.1086841921408475	FGF12;SCN1A;INPP5F;CEND1;SPTBN4
CUSTOM47281618358528	GOBP_AEROBIC_RESPIRATION	11/68	0.22859191390881428	0.9964544870876761	1.3399300655497297	BID;TNF;SDHAF2;ATP5F1A;NDUFS1;ISCU;IDE;COX7A1;CS;OGDHL;SDHC
CUSTOM47281618358528	GOBP_AGGRESOME_ASSEMBLY	1/2	0.23534874254591304	0.9964544870876761	4.7805097451274365	TRIM37
CUSTOM47281618358528	GOBP_AGING	19/142	0.4201243583655497	0.9964544870876761	1.090767376456408	PLA2R1;CITED2;BAK1;CDKN1B;CISD2;ATP5F1A;CTSC;RAD54B;MBD2;PRDM2;IDE;GLRX2;ADM;AKT3;MAPK10;RWDD1;UCP3;ELAVL4;NOX4
CUSTOM47281618358528	GOBP_ALANINE_TRANSPORT	2/7	0.21604495130570012	0.9964544870876761	2.6568284142071037	SLC38A2;SLC7A8
CUSTOM47281618358528	GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	6/77	0.9333988989072606	0.9964544870876761	0.6652808606471056	IP6K2;SPTSSB;SPHK1;ABCG4;NFKB1;SPHK2
CUSTOM47281618358528	GOBP_ALCOHOL_CATABOLIC_PROCESS	1/24	0.9602358497381632	0.9964544870876761	0.4864608512070495	GK
CUSTOM47281618358528	GOBP_ALCOHOL_METABOLIC_PROCESS	21/173	0.6014222153695488	0.9964544870876761	0.9858567718934202	IP6K2;PPARD;SOAT1;GDPD1;MOGAT2;OSBPL1A;ALDH1A3;ITPK1;SPTSSB;SPHK1;NFKB1;TTC39B;GK;SPHK2;PECR;CLN6;PLCB1;ABCG4;APOL2;NAPEPLD;MOGAT1
CUSTOM47281618358528	GOBP_ALDEHYDE_CATABOLIC_PROCESS	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	PNKD
CUSTOM47281618358528	GOBP_ALDITOL_CATABOLIC_PROCESS	1/5	0.4887894189012285	0.9964544870876761	2.1721412021262094	GK
CUSTOM47281618358528	GOBP_ALDITOL_METABOLIC_PROCESS	3/13	0.21773958034450494	0.9964544870876761	2.066933733934235	MOGAT2;GK;MOGAT1
CUSTOM47281618358528	GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	2/6	0.16767885686019657	0.9964544870876761	3.065956054950552	GPAT3;GK
CUSTOM47281618358528	GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	4/43	0.8061186947704158	0.9964544870876761	0.8224526834327197	GLS2;KYAT1;NOS2;SDSL
CUSTOM47281618358528	GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	12/91	0.47486020052000116	0.9964544870876761	1.0882711089389407	GLS2;NAT8L;RIMKLA;BCAT1;SDSL;SLC39A8;KYAT1;NOS2;MTAP;NOX4;SLC25A12;SIRT4
CUSTOM47281618358528	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	5/62	0.9037571467783899	0.9964544870876761	0.6986573005519318	CD274;SOCS5;RORA;ZBTB16;BCL3
CUSTOM47281618358528	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	4/42	0.790867441879803	0.9964544870876761	0.8419106590004423	RORA;ZBTB16;BCL3;SOCS5
CUSTOM47281618358528	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	1/19	0.922082119367224	0.9964544870876761	0.6115788259716296	CD274
CUSTOM47281618358528	GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS	1/6	0.5530115313089603	0.9964544870876761	1.8377349786645139	SCP2
CUSTOM47281618358528	GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	7/42	0.2703994036684969	0.9964544870876761	1.4074172655487533	CELF2;FXR1;YTHDC1;MBNL2;SRSF1;RSRC1;ZBTB7A
CUSTOM47281618358528	GOBP_AMACRINE_CELL_DIFFERENTIATION	1/2	0.23534874254591304	0.9964544870876761	4.7805097451274365	RORB
CUSTOM47281618358528	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	21/191	0.7758980393167081	0.9964544870876761	0.891130304648212	PPARD;SLC8A1;DPP4;TNF;ATP5F1A;SMOC2;SEMA6D;RET;KRIT1;FSTL1;ACVR1C;AKT3;MIA3;FGF7;PIK3CB;PIK3CA;SEMA7A;GPLD1;ARHGEF7;WDPCP;RCC2
CUSTOM47281618358528	GOBP_AMELOGENESIS	1/9	0.7012287711219787	0.9964544870876761	1.2569241694942002	RELT
CUSTOM47281618358528	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	44/318	0.2644186507980597	0.9964544870876761	1.1170827680339057	ELOVL4;EIF5;ACSL6;ACSF3;EIF4E3;CPEB3;DDX3X;DCP1A;UGCG;SPTSSB;PCSK1;MGST2;TNF;SPHK1;EIF2A;EIF4E1B;ABTB1;DIS3L2;SPHK2;MKNK2;METTL17;RPL15;TNIP1;RPS6KA3;AGO1;DND1;TCOF1;GFM1;CTIF;EIF4E2;DCPS;PURA;EIF5A2;B4GALT6;SECISBP2;FXR1;TARDBP;PASK;RWDD1;ZNF385A;ELAVL4;ST3GAL5;NCK2;BCL3
CUSTOM47281618358528	GOBP_AMIDE_TRANSPORT	24/152	0.13833270881807494	0.9964544870876761	1.285492432183137	SLC47A1;RAB11FIP5;PPARD;IRS1;SIRT4;EFNA5;TNF;ICA1;KCNB1;SLC5A6;SLC19A2;NOS2;CLEC4M;ACVR1C;ABCC1;CAMK2G;CHGA;CPLX1;PASK;TCF7L2;ABCC8;GPLD1;PIM3;CCDC186
CUSTOM47281618358528	GOBP_AMINE_METABOLIC_PROCESS	6/57	0.7373863173138243	0.9964544870876761	0.8989539886008778	PNKD;ITGB2;NAPEPLD;GDPD1;GRIN2A;SIRT4
CUSTOM47281618358528	GOBP_AMINE_TRANSPORT	8/56	0.4059060190205669	0.9964544870876761	1.1989213070800915	TNF;KCNB1;SV2A;SYT12;SYT2;CHGA;SYT3;KCNA2
CUSTOM47281618358528	GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	6/41	0.411448553840818	0.9964544870876761	1.2480560110860317	PXYLP1;ST3GAL6;NFKB1;HS3ST5;XYLT2;HS3ST1
CUSTOM47281618358528	GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	2/13	0.4990592530196493	0.9964544870876761	1.4749041187260297	IDS;OVGP1
CUSTOM47281618358528	GOBP_AMINOGLYCAN_METABOLIC_PROCESS	9/62	0.3748350704145073	0.9964544870876761	1.2116352644836272	IDS;PXYLP1;ST3GAL6;OVGP1;NFKB1;HS3ST5;XYLT2;HS3ST1;CLN6
CUSTOM47281618358528	GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	ATP8B1
CUSTOM47281618358528	GOBP_AMINOPHOSPHOLIPID_TRANSPORT	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	ATP8B1
CUSTOM47281618358528	GOBP_AMINO_ACID_BETAINE_TRANSPORT	1/2	0.23534874254591304	0.9964544870876761	4.7805097451274365	SLC38A2
CUSTOM47281618358528	GOBP_AMINO_ACID_IMPORT	3/22	0.5340337851777762	0.9964544870876761	1.2387581372058087	SLC47A1;SLC7A8;TNF
CUSTOM47281618358528	GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	3/20	0.4678511767515684	0.9964544870876761	1.3599545659953345	SLC47A1;SLC7A8;TNF
CUSTOM47281618358528	GOBP_AMINO_ACID_SALVAGE	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	MTAP
CUSTOM47281618358528	GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	7/45	0.3332821814917147	0.9964544870876761	1.3141232824490743	TNF;SLC47A1;SLC38A2;SLC38A11;SLC38A1;SLC7A8;SLC25A12
CUSTOM47281618358528	GOBP_AMINO_ACID_TRANSPORT	8/71	0.6823820921909058	0.9964544870876761	0.9456044710196698	TNF;SLC47A1;SLC38A2;SV2A;SLC38A11;SLC38A1;SLC7A8;SLC25A12
CUSTOM47281618358528	GOBP_AMINO_SUGAR_CATABOLIC_PROCESS	1/7	0.6091726279808134	0.9964544870876761	1.592503748125937	OVGP1
CUSTOM47281618358528	GOBP_AMINO_SUGAR_METABOLIC_PROCESS	2/18	0.6799511937573359	0.9964544870876761	1.075605370252694	OVGP1;EXTL2
CUSTOM47281618358528	GOBP_AMMONIUM_ION_METABOLIC_PROCESS	1/15	0.8665827498796589	0.9964544870876761	0.769792523093292	GRIN2A
CUSTOM47281618358528	GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT	1/7	0.6091726279808134	0.9964544870876761	1.592503748125937	SLC12A5
CUSTOM47281618358528	GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	ZDHHC2
CUSTOM47281618358528	GOBP_AMP_METABOLIC_PROCESS	1/12	0.8003309824831967	0.9964544870876761	0.9549025487256372	AK2
CUSTOM47281618358528	GOBP_AMYGDALA_DEVELOPMENT	1/2	0.23534874254591304	0.9964544870876761	4.7805097451274365	TBR1
CUSTOM47281618358528	GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY	1/2	0.23534874254591304	0.9964544870876761	4.7805097451274365	ADM
CUSTOM47281618358528	GOBP_AMYLOID_BETA_CLEARANCE	4/20	0.23695106619428097	0.9964544870876761	1.7502659086741243	LRPAP1;IDE;ITGB2;TNF
CUSTOM47281618358528	GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	IDE
CUSTOM47281618358528	GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS	1/3	0.33137382204636207	0.9964544870876761	3.414221460698222	LRPAP1
CUSTOM47281618358528	GOBP_AMYLOID_BETA_FORMATION	2/22	0.7830699831807673	0.9964544870876761	0.8839419709854928	SORL1;TNF
CUSTOM47281618358528	GOBP_AMYLOID_BETA_METABOLIC_PROCESS	3/26	0.6510514973815211	0.9964544870876761	1.0512466813427688	SORL1;IDE;TNF
CUSTOM47281618358528	GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS	3/9	0.09275184641313308	0.9964544870876761	2.938697519964157	NECAB3;ITM2A;SOAT1
CUSTOM47281618358528	GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	2/28	0.8831323388865049	0.9964544870876761	0.6973223453832179	SORL1;TNF
CUSTOM47281618358528	GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	6/40	0.3878465499029741	0.9964544870876761	1.279033428204699	TMCC2;ITM2A;TNF;SOAT1;SORL1;NECAB3
CUSTOM47281618358528	GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	1/9	0.7012287711219787	0.9964544870876761	1.2569241694942002	KCNA2
CUSTOM47281618358528	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	60/503	0.6901127789665796	0.9964544870876761	0.9534221680314274	CCNB1IP1;COL6A1;VAV3;CFL2;CITED2;JAM2;GLMN;ALDH1A3;CEND1;LIAS;PIM1;TNF;LUZP1;SPHK1;COL7A1;PIKFYVE;SMOC2;ADAMTS5;POGLUT1;PRICKLE1;NKX3-1;RORA;RET;FGF9;CCDC136;KRIT1;FMN1;ATP8B1;AGO1;AR;MAFB;PPP1R16B;AHI1;RELT;PLXDC1;TCOF1;FZD6;TBR1;ITGB2;ZNF385A;EHD2;ADM;AKT3;MIA3;ECM1;HSPB6;SIX4;PPARGC1B;CNTNAP1;MTDH;TTC21B;EPB41L3;PIK3CB;PIK3CA;ABCC8;PRKCB;GPLD1;ETS2;NEB;BCL3
CUSTOM47281618358528	GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS	11/132	0.952790827314681	0.9964544870876761	0.687110569276047	CFL2;PPARGC1B;USP45;ABCC8;SLC39A8;JAM2;LCA5;ATP2B3;ATP2B2;AKT3;NOX4
CUSTOM47281618358528	GOBP_ANATOMICAL_STRUCTURE_MATURATION	11/104	0.7722581879192021	0.9964544870876761	0.8743276437157783	ANKS1A;B4GALT6;SCLT1;NOM1;ZBTB7A;MAP3K13;TDRD1;RET;ZBTB16;CEND1;SPTBN4
CUSTOM47281618358528	GOBP_ANDROGEN_METABOLIC_PROCESS	1/13	0.8254369599358337	0.9964544870876761	0.8840579710144928	ADM
CUSTOM47281618358528	GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	4/21	0.26592608321163447	0.9964544870876761	1.6686483650987936	NKX3-1;ZBTB7A;AR;RWDD1
CUSTOM47281618358528	GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	3/13	0.21773958034450494	0.9964544870876761	2.066933733934235	SMOC2;PIK3CB;TNF
CUSTOM47281618358528	GOBP_ANIMAL_ORGAN_FORMATION	4/31	0.55753330224429	0.9964544870876761	1.1374865735767992	AR;TBR1;CITED2;PIM1
CUSTOM47281618358528	GOBP_ANIMAL_ORGAN_MATURATION	2/15	0.5786753037017613	0.9964544870876761	1.2842711678419856	RET;ZBTB16
