Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs13018640;rs71413877;rs72819118;rs192225848;rs72821189;rs10166286;rs10168615;rs17023131;rs79430745;rs6715321;rs4851263;rs4851338;rs13009915;rs1346620;rs77826402;rs62147651;rs62156361;rs6733011;rs11690621;rs116398129;rs111377325;rs11690494;rs744145,19,chr2:99061317-101034118,1.05E-50,ENSG00000170500,LONRF2,2.40E-24,TRUE,<0.01,
rs2469226;rs67418609,5,chr15:76352178-77242601,1.28E-08,ENSG00000140386,SCAPER,3.30E-24,FALSE,<0.01,
rs62174974;rs10205057;rs115438240;rs2193615;rs7590852,3,chr2:185463093-186698017,3.67E-10,ENSG00000170396,ZNF804A,4.36E-24,TRUE,<0.01,
rs6731373,2,chr2:68358370-68488362,1.39E-14,ENSG00000221823,PPP3R1,6.64E-24,TRUE,<0.01,
rs10844179,2,chr12:32259769-32798984,5.03E-10,ENSG00000151746,BICD1,7.81E-24,FALSE,<0.01,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000198408,MGEA5,1.34E-23,FALSE,<0.01,
rs1910005;rs11744829,1,chr5:80708840-81047616,5.66E-09,ENSG00000145687,SSBP2,2.51E-23,TRUE,<0.01,
rs12453682,9,chr17:37408897-37884915,1.81E-11,ENSG00000171532,NEUROD2,3.94E-23,TRUE,<0.01,
rs145054300;rs77675579,19,chr11:46299212-47357945,7.18E-08,ENSG00000110514,MADD,5.49E-23,FALSE,<0.01,
rs58125559;rs35773761;rs73497522,5,chr16:1560428-1820318,1.34E-07,ENSG00000138834,MAPK8IP3,8.54E-23,FALSE,<0.01,
rs151257075;rs16837272,17,chr1:156182773-156647189,7.96E-06,ENSG00000116604,MEF2D,1.10E-22,FALSE,<0.01,
rs34262657;rs11631042,2,chr15:63796793-64126147,2.84E-10,ENSG00000103657,HERC1,1.75E-22,FALSE,<0.01,
rs12888615;rs2332752;rs149671;rs10130488;rs6574018,3,chr14:71787166-73030654,9.42E-12,ENSG00000197555,SIPA1L1,1.84E-22,TRUE,<0.01,
rs2336721;rs6802671;rs77321042,20,chr3:52350335-53226733,1.05E-10,ENSG00000010322,NISCH,2.37E-22,FALSE,<0.01,
rs4984682,16,chr16:616995-818865,1.82E-16,ENSG00000127585,FBXL16,2.80E-22,FALSE,<0.01,
rs4348041,1,chr4:5749811-5894785,5.00E-06,ENSG00000072832,CRMP1,3.25E-22,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000174996,KLC2,3.32E-22,TRUE,<0.01,
rs13163062;rs252991;rs1593022;rs1559244;rs34410;rs55876360;rs12515656;rs67338857;rs2454897;rs13167810;rs11948860,2,chr5:106712590-107717799,4.43E-16,ENSG00000145743,FBXL17,3.97E-22,TRUE,<0.01,
rs939592,4,chr1:151584541-151743808,1.99E-07,ENSG00000143376,SNX27,5.14E-22,FALSE,<0.01,
rs6720630;rs80226210,2,chr2:48010221-48132932,4.59E-07,ENSG00000138081,FBXO11,6.11E-22,TRUE,<0.01,
rs853199,5,chr17:35441923-35969488,1.76E-06,ENSG00000006114,SYNRG,6.12E-22,FALSE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000100167,SEPT3,8.49E-22,FALSE,<0.01,
rs7218235,1,chr17:2496923-2588909,2.44E-08,ENSG00000007168,PAFAH1B1,8.96E-22,FALSE,<0.01,
rs1747714;rs9423846;rs72772094,1,chr10:11047259-11378666,3.82E-14,ENSG00000048740,CELF2,9.05E-22,FALSE,<0.01,
rs2447097,2,chr17:2240806-2304412,1.10E-11,ENSG00000141258,SGSM2,9.45E-22,FALSE,<0.01,
rs3811038,4,chr2:112895962-113290227,7.54E-06,ENSG00000114999,TTL,1.04E-21,TRUE,<0.01,
rs114352120,7,chr5:64813593-65167553,2.80E-07,ENSG00000197860,SGTB,1.97E-21,FALSE,<0.01,
rs312927;rs113646375;rs4807428,1,chr19:3224701-3297074,2.52E-11,ENSG00000161082,CELF5,1.97E-21,TRUE,<0.01,
rs5002966,1,chr5:21750777-22853731,8.40E-08,ENSG00000154162,CDH12,2.01E-21,FALSE,<0.01,
rs2314338;rs118101047;rs507671;rs112199584,9,chr17:38278790-38613983,9.50E-09,ENSG00000171475,WIPF2,2.09E-21,TRUE,<0.01,
rs1245829,1,chr12:79257773-79845788,3.29E-12,ENSG00000067715,SYT1,2.27E-21,FALSE,<0.01,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000166167,BTRC,6.82E-21,TRUE,<0.01,
rs15739,8,chr17:15848231-16256813,6.08E-07,ENSG00000141027,NCOR1,7.19E-21,FALSE,<0.01,
rs1815532;rs8013401;rs12590545;rs61989562,7,chr14:66953072-67878917,8.01E-08,ENSG00000171723,GPHN,1.05E-20,FALSE,<0.01,
rs114468556;rs17669337;rs141834426;rs6890998;rs2029401;rs10074178;rs17315154;rs6873367;rs13175613;rs10059375,8,chr5:92746995-94620279,1.99E-16,ENSG00000113391,FAM172A,1.47E-20,TRUE,<0.01,
rs6774533;rs9871209,1,chr3:62384021-62861064,4.18E-09,ENSG00000163618,CADPS,1.88E-20,FALSE,<0.01,
rs10798888;rs645891,2,chr1:32117848-32230494,5.15E-14,ENSG00000121753,BAI2,2.76E-20,TRUE,<0.01,
rs1453213,1,chr8:107282473-107764922,1.10E-07,ENSG00000164830,OXR1,3.72E-20,FALSE,<0.01,
rs74415461;rs118124826;rs35754755;rs4785577;rs9673820;rs9932312;rs12917772;rs8047204,26,chr16:89154783-90142338,6.25E-12,ENSG00000158792,SPATA2L,3.91E-20,TRUE,<0.01,
rs431392,1,chr12:120123595-120315095,9.33E-06,ENSG00000122966,CIT,4.64E-20,TRUE,<0.01,
rs9446060;rs644877;rs1006997,2,chr6:69342555-70099403,4.33E-08,ENSG00000135298,BAI3,4.97E-20,TRUE,<0.01,
rs72634813,2,chr1:1533392-1565990,8.85E-06,ENSG00000197530,MIB2,5.64E-20,FALSE,<0.01,
rs10979613;rs10816784,6,chr9:111629797-112083244,1.25E-15,ENSG00000136805,C9orf4,9.19E-20,TRUE,<0.01,
rs7849487;rs4740635;rs76752728;rs3847228;rs11794748,1,chr9:2015342-2193624,1.25E-29,ENSG00000080503,SMARCA2,1.00E-19,TRUE,<0.01,
rs721579;rs56319902;rs538628;rs143699161;rs11657021,14,chr17:43340488-44896082,5.81E-33,ENSG00000186868,MAPT,1.03E-19,FALSE,<0.01,
rs2729762;rs35346988;rs4638330,7,chr11:76839310-77705724,3.03E-07,ENSG00000149269,PAK1,1.04E-19,TRUE,<0.01,
rs17502934;rs939400;rs12620796;rs34967124;rs6726487;rs10168826;rs3914727;rs1217437,1,chr2:50145643-51259674,2.12E-17,ENSG00000179915,NRXN1,1.11E-19,TRUE,<0.01,
rs827951,1,chr6:158733692-158932860,1.31E-06,ENSG00000130338,TULP4,1.29E-19,FALSE,<0.01,
rs1057908,2,chr12:49207577-49246625,2.57E-06,ENSG00000167535,CACNB3,1.33E-19,FALSE,<0.01,
rs11082011;rs62081488;rs1963381;rs1187264;rs72893129;rs34362479;rs3888345;rs1944800;rs17561693;rs147994777;rs7244724,1,chr18:34823010-35146000,2.06E-38,ENSG00000101489,CELF4,1.42E-19,TRUE,<0.01,
rs6905041,3,chr6:110931181-111347303,5.65E-07,ENSG00000155111,CDK19,1.51E-19,FALSE,<0.01,
rs113801542,4,chr6:71122644-71666741,8.81E-08,ENSG00000112305,SMAP1,1.61E-19,FALSE,<0.01,
rs2301586,6,chr22:29601840-29819168,2.01E-06,ENSG00000100276,RASL10A,1.63E-19,FALSE,<0.01,
rs7502541;rs9902820;rs62082093,14,chr17:56422539-57353322,3.90E-07,ENSG00000175175,PPM1E,1.66E-19,FALSE,<0.01,
rs2039204,8,chr9:130267618-130541020,5.23E-09,ENSG00000136854,STXBP1,1.73E-19,TRUE,<0.01,
rs7729926;rs72801644,13,chr5:137203480-137772717,1.16E-06,ENSG00000031003,FAM13B,1.73E-19,FALSE,<0.01,
rs2055940;rs4279178,2,chr4:46920917-47428461,4.95E-08,ENSG00000109158,GABRA4,3.12E-19,TRUE,<0.01,
rs12151248;rs118040169;rs7408934;rs56252104;rs79105431;rs62109939;rs11775;rs9941452,7,chr19:13080432-13265716,3.81E-11,ENSG00000160877,NACC1,3.19E-19,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000164076,CAMKV,3.25E-19,TRUE,<0.01,
rs793191,2,chr12:31516415-31744031,1.93E-07,ENSG00000170456,DENND5B,5.34E-19,FALSE,<0.01,
rs73106136,1,chr20:43514317-43537173,1.05E-08,ENSG00000166913,YWHAB,5.72E-19,TRUE,<0.01,
rs11172134,2,chr12:57643392-57845842,1.48E-06,ENSG00000179912,R3HDM2,6.16E-19,FALSE,<0.01,
rs78393250,14,chr11:47376411-48192393,1.79E-06,ENSG00000149187,CELF1,1.08E-18,FALSE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000167074,TEF,1.40E-18,FALSE,<0.01,
rs1076780,1,chr22:50781733-50883514,5.42E-06,ENSG00000100239,PPP6R2,1.74E-18,FALSE,<0.01,
rs9347403;rs113588399;rs13216156;rs59658357;rs1007250,2,chr6:157099063-157744633,1.67E-09,ENSG00000049618,ARID1B,1.82E-18,TRUE,<0.01,
rs2368449,1,chr19:3630182-3700463,7.08E-07,ENSG00000186111,PIP5K1C,1.87E-18,FALSE,<0.01,
rs10041403;rs34309;rs3730088;rs34808696,1,chr5:67511548-67597649,1.55E-15,ENSG00000145675,PIK3R1,1.91E-18,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000088538,DOCK3,1.91E-18,TRUE,<0.01,
rs939592,4,chr1:151584541-151743808,1.99E-07,ENSG00000159409,CELF3,1.96E-18,TRUE,<0.01,
rs4793090,11,chr17:40554468-40829048,1.67E-08,ENSG00000033627,ATP6V0A1,2.91E-18,FALSE,<0.01,
rs2160514;rs1671476;rs1671528;rs4763452,2,chr12:16500076-16763528,2.54E-11,ENSG00000048540,LMO3,3.34E-18,TRUE,<0.01,
rs4731413;rs10244329;rs75278839;rs140291167;rs4731392;rs10239419;rs53125,7,chr7:126986844-127897681,5.08E-14,ENSG00000128594,LRRC4,3.88E-18,TRUE,<0.01,
rs2447097,2,chr17:2240806-2304412,1.10E-11,ENSG00000070444,MNT,4.88E-18,TRUE,<0.01,
rs3748988;rs79018948,1,chr2:1792885-2335032,2.79E-07,ENSG00000186487,MYT1L,5.86E-18,TRUE,<0.01,
rs12671060,1,chr7:107788082-108097161,9.70E-07,ENSG00000091129,NRCAM,6.11E-18,TRUE,<0.01,
rs1437394,1,chr2:55514978-55647057,5.14E-08,ENSG00000115355,CCDC88A,6.40E-18,TRUE,<0.01,
rs190152;rs73348977,7,chr14:45366498-45670093,3.27E-07,ENSG00000198718,FAM179B,6.45E-18,FALSE,<0.01,
rs721579;rs56319902;rs538628;rs143699161;rs11657021,14,chr17:43340488-44896082,5.81E-33,ENSG00000073969,NSF,7.65E-18,FALSE,<0.01,
rs7693161,1,chr4:184774584-184938894,6.88E-08,ENSG00000173320,STOX2,8.72E-18,TRUE,<0.01,
rs363096;rs362307;rs4690081;rs6853599;rs6824567;rs116069820,12,chr4:2794750-3451211,5.77E-24,ENSG00000087274,ADD1,9.96E-18,TRUE,<0.01,
rs9540718;rs76876592;rs7338439,1,chr13:66876967-67804468,1.88E-10,ENSG00000184226,PCDH9,1.00E-17,TRUE,<0.01,
rs3751331;rs138569349;rs1148547,20,chr12:57984957-58351052,1.75E-11,ENSG00000178498,DTX3,1.01E-17,FALSE,<0.01,
rs1024268;rs10789285;rs663251;rs1341788,1,chr1:70034081-70589164,3.40E-09,ENSG00000033122,LRRC7,1.93E-17,TRUE,<0.01,
rs67224963,2,chr5:63461671-63908139,7.19E-11,ENSG00000186479,RGS7BP,1.97E-17,TRUE,<0.01,
rs12765185,2,chr10:134884433-135039916,2.96E-08,ENSG00000197177,GPR123,2.37E-17,FALSE,<0.01,
rs60551751;rs9546554;rs61960218,1,chr13:84451344-84456528,1.89E-06,ENSG00000178235,SLITRK1,2.50E-17,TRUE,<0.01,
rs11708163;rs1849509,1,chr3:131252399-132004254,6.63E-08,ENSG00000196353,CPNE4,2.70E-17,TRUE,<0.01,
rs563954;rs67661275;rs10894594;rs1506876;rs7123307;rs1911252,1,chr11:132284871-133402414,1.34E-08,ENSG00000183715,OPCML,2.90E-17,TRUE,<0.01,
rs4691601;rs998886;rs34637277,1,chr4:160025330-160281321,2.46E-16,ENSG00000109756,RAPGEF2,3.06E-17,TRUE,<0.01,
rs61104616;rs324885;rs193706;rs141729694;rs72771860;rs16903468;rs2365376;rs56324019;rs115732298;rs79486459;rs16903288;rs28582119;rs10474278,8,chr5:87485450-88762215,1.56E-34,ENSG00000081189,MEF2C,3.09E-17,TRUE,<0.01,
rs7313065,1,chr12:53458388-53473204,1.52E-07,ENSG00000167778,SPRYD3,3.55E-17,TRUE,<0.01,
rs13388333;rs62191669,4,chr2:242166679-242449145,6.48E-09,ENSG00000115694,STK25,3.70E-17,TRUE,<0.01,
rs138056327,3,chr4:118954773-119274158,1.24E-06,ENSG00000164100,NDST3,3.73E-17,TRUE,<0.01,
rs36120534,1,chr20:17206752-17465223,3.77E-08,ENSG00000125851,PCSK2,3.73E-17,FALSE,<0.01,
rs11703948,1,chr22:38822332-38851205,1.26E-12,ENSG00000168135,KCNJ4,3.84E-17,FALSE,<0.01,
rs2333218,1,chr3:124944405-125094198,1.40E-07,ENSG00000163848,ZNF148,4.35E-17,TRUE,<0.01,
rs4839155;rs1538389;rs2076586;rs197420,5,chr1:112084840-112531777,4.66E-12,ENSG00000197852,C1orf183,4.64E-17,TRUE,<0.01,
rs10208;rs2521602,2,chr17:42269174-42298994,2.07E-09,ENSG00000087152,ATXN7L3,5.43E-17,FALSE,<0.01,
rs7612549;rs9814482;rs76387355,1,chr3:35680437-35835988,1.65E-07,ENSG00000172995,ARPP21,5.74E-17,TRUE,<0.01,
rs3897821;rs10927053;rs2994326;rs78631843;rs10927006;rs114025835;rs10803136;rs10926940,3,chr1:243219131-244014381,3.58E-25,ENSG00000117020,AKT3,5.74E-17,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000047849,MAP4,6.39E-17,TRUE,<0.01,
rs2288799;rs4958869,1,chr5:149599054-149669854,8.27E-07,ENSG00000070808,CAMK2A,6.69E-17,TRUE,<0.01,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000143420,ENSA,8.41E-17,FALSE,<0.01,
rs145054300;rs77675579,19,chr11:46299212-47357945,7.18E-08,ENSG00000149179,C11orf49,8.82E-17,FALSE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000100403,ZC3H7B,9.33E-17,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000174576,NPAS4,1.47E-16,FALSE,<0.01,
rs79607119,3,chr2:120302008-120741394,1.03E-06,ENSG00000088179,PTPN4,1.59E-16,FALSE,<0.01,
rs182902112;rs6580046;rs1461224;rs962356;rs11167672;rs2964255;rs190724856;rs72806710;rs72799269;rs17515793,5,chr5:151771093-153800544,6.34E-09,ENSG00000155511,GRIA1,1.60E-16,TRUE,<0.01,
rs7012546;rs2334119;rs3098210,1,chr8:104512976-105268322,1.25E-10,ENSG00000176406,RIMS2,1.78E-16,FALSE,<0.01,
rs13422673;rs80077995;rs799810;rs707115;rs707078,2,chr2:154728426-155714863,6.48E-15,ENSG00000162989,KCNJ3,1.97E-16,TRUE,<0.01,
rs10786544;rs4589234;rs1923575,1,chr10:83635070-84746723,1.35E-06,ENSG00000185737,NRG3,2.01E-16,TRUE,<0.01,
rs112806496;rs11894424;rs2916490;rs60030196;rs75931210,1,chr2:79412357-80875905,1.72E-10,ENSG00000066032,CTNNA2,2.12E-16,FALSE,<0.01,
rs145054300;rs77675579,19,chr11:46299212-47357945,7.18E-08,ENSG00000149091,DGKZ,2.12E-16,TRUE,<0.01,
rs4787983;rs991911,1,chr16:24266874-24374122,2.44E-07,ENSG00000006116,CACNG3,2.60E-16,TRUE,<0.01,
rs2740795,5,chr8:91803778-92099323,7.71E-10,ENSG00000123119,NECAB1,2.91E-16,FALSE,<0.01,
rs7218758,1,chr17:27717943-27871502,5.20E-07,ENSG00000160551,TAOK1,3.19E-16,TRUE,<0.01,
rs2131167,1,chr12:99120235-100378432,1.52E-08,ENSG00000185046,ANKS1B,3.24E-16,FALSE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000164061,BSN,3.49E-16,FALSE,<0.01,
rs1051860;rs71414197,5,chr14:58466453-58840605,3.29E-08,ENSG00000032219,ARID4A,3.72E-16,FALSE,<0.01,
rs4726070;rs2058495,2,chr7:151163098-151574210,1.36E-17,ENSG00000106615,RHEB,3.80E-16,TRUE,<0.01,
rs62181533,1,chr2:192813769-193060435,4.14E-07,ENSG00000144339,TMEFF2,3.83E-16,TRUE,<0.01,
rs72482130;rs4663617;rs62190914;rs13034294;rs6710615;rs3820781,2,chr2:236402733-237077012,4.59E-13,ENSG00000157985,AGAP1,3.88E-16,TRUE,<0.01,
rs1934363,2,chr10:28811581-28909928,8.23E-08,ENSG00000095787,WAC,3.97E-16,TRUE,<0.01,
rs10983324;rs4633129,2,chr9:119187504-120177348,3.55E-08,ENSG00000148219,ASTN2,4.02E-16,TRUE,<0.01,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000196123,KIAA0895L,4.28E-16,FALSE,<0.01,
rs12461072,6,chr19:18208603-18359010,8.98E-07,ENSG00000105649,RAB3A,4.92E-16,TRUE,<0.01,
rs17883331;rs35814703,2,chr19:4909510-5153606,1.29E-09,ENSG00000127663,KDM4B,5.84E-16,TRUE,<0.01,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000059915,PSD,5.90E-16,FALSE,<0.01,
rs12568267;rs11589736,4,chr1:220141943-220445796,1.47E-06,ENSG00000118873,RAB3GAP2,6.96E-16,TRUE,<0.01,
rs34363861,5,chr2:73300510-73511559,8.69E-10,ENSG00000163013,FBXO41,7.35E-16,TRUE,<0.01,
rs1405876;rs2373124;rs6973215;rs142830375,1,chr7:86273230-86494200,7.84E-14,ENSG00000198822,GRM3,7.45E-16,TRUE,<0.01,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000066135,KDM4A,7.48E-16,FALSE,<0.01,
rs324438,1,chr5:32354456-32444867,1.70E-06,ENSG00000056097,ZFR,8.06E-16,TRUE,<0.01,
rs995698,1,chr9:88161455-88356944,1.53E-12,ENSG00000135049,AGTPBP1,8.91E-16,TRUE,<0.01,
rs9608471,1,chr22:26565440-26779562,2.54E-06,ENSG00000100095,SEZ6L,9.77E-16,TRUE,<0.01,
