regionName,regionLongName,regionIdLabel,LR,region,Lobe,cortex,regionID,Cortex_ID,x-cog,y-cog,z-cog,volmm
MT_L,Middle_Temporal_Area_L,23_L,L,MT,Occ,MT+_Complex_and_Neighboring_Visual_Areas,23,5,133.489855,55.521739,82.907246,345
A1_L,Primary_Auditory_Cortex_L,24_L,L,A1,Temp,Early_Auditory,24,10,135.998896,101.994481,82.398455,906
PSL_L,PeriSylvian_Language_Area_L,25_L,L,PSL,Par,Temporo-Parieto_Occipital_Junction,25,15,150.183112,78.426117,97.249877,2037
SFL_L,Superior_Frontal_Language_Area_L,26_L,L,SFL,Fr,Dorsolateral_Prefrontal,26,22,98.31097,142.730684,135.373291,3145
PCV_L,PreCuneus_Visual_Area_L,27_L,L,PCV,Par,Posterior_Cingulate,27,18,96.358639,76.151178,120.194372,1528
STV_L,Superior_Temporal_Visual_Area_L,28_L,L,STV,Par,Temporo-Parieto-Occipital_Junction,28,15,152.198435,74.187814,89.932923,1789
7Pm_L,Medial_Area_7P_L,29_L,L,7Pm,Par,Superior_Parietal,29,16,95.248227,58.274232,121.498818,846
7m_L,Area_7m_L,30_L,L,7m,Par,Posterior_Cingulate,30,18,95.552556,64.056289,105.57668,1741
POS1_L,Parieto-Occipital_Sulcus_Area_1_L,31_L,L,POS1,Par,Posterior_Cingulate,31,18,101.731298,67.452417,84.880916,1965
23d_L,Area_23d_L,32_L,L,23d,Par,Posterior_Cingulate,32,18,93.867052,106.364162,109.955684,1038
v23ab_L,Area_ventral_23_a+b_L,33_L,L,v23ab,Par,Posterior_Cingulate,33,18,94.704348,70.024638,91.217391,690
d23ab_L,Area_dorsal_23_a+b_L,34_L,L,d23ab,Par,Posterior_Cingulate,34,18,93.768848,84.202983,102.524441,1207
31pv_L,Area_31p_ventral_L,35_L,L,31pv,Par,Posterior_Cingulate,35,18,100.042751,81.552045,104.622677,538
5m_L,Area_5m_L,36_L,L,5m,Par,Paracentral_Lobular_and_Mid_Cingulate,36,7,96.894004,83.917559,134.828694,934
5mv_L,Area_5m_ventral_L,37_L,L,5mv,Par,Paracentral_Lobular_and_Mid_Cingulate,37,7,104.643979,88.134031,121.951832,955
23c_L,Area_23c_L,38_L,L,23c,Par,Paracentral_Lobular_and_Mid_Cingulate,38,7,102.515493,96.142723,113.688263,1065
5L_L,Area_5L_L,39_L,L,5L,Par,Paracentral_Lobular_and_Mid_Cingulate,39,7,105.121097,76.89642,144.418888,1313
24dd_L,Dorsal_Area_24d_L,40_L,L,24dd,Fr,Paracentral_Lobular_and_Mid_Cingulate,40,7,96.658505,110.468299,121.557499,2287
24dv_L,Ventral_Area_24d_L,41_L,L,24dv,Fr,Paracentral_Lobular_and_Mid_Cingulate,41,7,100.068306,126.534153,115.301913,732
7AL_L,Lateral_Area_7A_L,42_L,L,7AL,Par,Superior_Parietal,42,16,112.239867,73.178073,137.489037,1505
SCEF_L,Supplementary_and_Cingulate_Eye_Field_L,43_L,L,SCEF,Fr,Paracentral_Lobular_and_Mid_Cingulate,43,7,96.643496,131.532274,128.125124,3021
6ma_L,Area_6m_anterior_L,44_L,L,6ma,Fr,Paracentral_Lobular_and_Mid_Cingulate,44,7,110.592627,130.136617,139.421933,3228
7Am_L,Medial_Area_7A_L,45_L,L,7Am,Par,Superior_Parietal,45,16,97.517305,65.146285,132.871251,2167
7Pl_L,Lateral_Area_7P_L,46_L,L,7Pl,Par,Superior_Parietal,46,16,105.278114,51.702539,127.938331,827
7PC_L,Area_7PC_L,47_L,L,7PC,Par,Superior_Parietal,47,16,128.238394,78.294856,131.844417,2391
LIPv_L,Area_Lateral_IntraParietal_ventral_L,48_L,L,LIPv,Par,Superior_Parietal,48,16,121.655546,69.556357,124.250676,1109
VIP_L,Ventral_IntraParietal_Complex_L,49_L,L,VIP,Par,Superior_Parietal,49,16,114.787443,60.903859,134.815566,1529
MIP_L,Medial_IntraParietal_Area_L,50_L,L,MIP,Par,Superior_Parietal,50,16,115.970641,58.793594,119.152135,1124
1_L,Area_1_L,51_L,L,1,Par,Somatosensory_and_Motor,51,6,138.150337,99.962157,127.34085,3858
2_L,Area_2_L,52_L,L,2,Par,Somatosensory_and_Motor,52,6,129.508165,92.68818,123.900078,2572
3a_L,Area_3a_L,53_L,L,3a,Fr,Somatosensory_and_Motor,53,6,125.373109,105,114.733613,1190
6d_L,Dorsal_area_6_L,54_L,L,6d,Fr,Premotor,54,8,124.128205,111.937022,138.11426,2223
6mp_L,Area_6mp_L,55_L,L,6mp,Fr,Paracentral_Lobular_and_Mid_Cingulate,55,7,100.026417,110.678674,141.063401,2082
6v_L,Ventral_Area_6_L,56_L,L,6v,Fr,Premotor,56,8,149.799006,129.681108,103.925426,1408
p24pr_L,Area_Posterior_24_prime_L,57_L,L,p24pr,Fr,Anterior_Cingulate_and_Medial_Prefrontal,57,19,94.447546,124.308951,110.85948,1039
33pr_L,Area_33_prime_L,58_L,L,33pr,Fr,Anterior_Cingulate_and_Medial_Prefrontal,58,19,94.083624,134.923345,100.006969,287
a24pr_L,Anterior_24_prime_L,59_L,L,a24pr,Fr,Anterior_Cingulate_and_Medial_Prefrontal,59,19,95.249415,144.104215,101.338407,854
p32pr_L,Area_p32_prime_L,60_L,L,p32pr,Fr,Anterior_Cingulate_and_Medial_Prefrontal,60,19,99.010823,140.837662,110.227273,924
a24_L,Area_a24_L,61_L,L,a24,Fr,Anterior_Cingulate_and_Medial_Prefrontal,61,19,96.046431,166.310464,66.976438,1443
d32_L,Area_dorsal_32_L,62_L,L,d32,Fr,Anterior_Cingulate_and_Medial_Prefrontal,62,19,98.638734,168.099317,96.929236,1611
8BM_L,Area_8BM_L,63_L,L,8BM,Fr,Anterior_Cingulate_and_Medial_Prefrontal,63,19,95.909177,158.968616,116.162149,2103
p32_L,Area_p32_L,64_L,L,p32,Fr,Anterior_Cingulate_and_Medial_Prefrontal,64,19,101.628302,174.318868,67.658491,530
10r_L,Area_10r_L,65_L,L,10r,Fr,Anterior_Cingulate_and_Medial_Prefrontal,65,19,96.816092,176.014368,59.294061,1044
47m_L,Area_47m_L,66_L,L,47m,Fr,Orbital_and_Polar_Frontal,66,20,127.422402,156.510121,55.184885,741
8Av_L,Area_8Av_L,67_L,L,8Av,Fr,Dorsolateral_Prefrontal,67,22,128.190759,142.505809,124.802756,3701
8Ad_L,Area_8Ad_L,68_L,L,8Ad,Fr,Dorsolateral_Prefrontal,68,22,113.687799,154.661483,115.801037,2508
9m_L,Area_9_Middle_L,69_L,L,9m,Fr,Anterior_Cingulate_and_Medial_Prefrontal,69,19,97.019809,180.108831,93.67494,4190
8BL_L,Area_8B_Lateral_L,70_L,L,8BL,Fr,Dorsolateral_Prefrontal,70,22,101.401615,163.951564,124.369828,1982
9p_L,Area_9_Posterior_L,71_L,L,9p,Fr,Dorsolateral_Prefrontal,71,22,109.307738,173.069108,109.713526,1693
10d_L,Area_10d_L,72_L,L,10d,Fr,Orbital_and_Polar_Frontal,72,20,100.894288,191.564911,78.3023,2696
8C_L,Area_8C_L,73_L,L,8C,Fr,Dorsolateral_Prefrontal,73,22,134.157612,139.145205,109.267606,2982
44_L,Area_44_L,74_L,L,44,Fr,Inferior_Frontal,74,21,144.510015,141.238315,88.001027,1947
45_L,Area_45_L,75_L,L,45,Fr,Inferior_Frontal,75,21,141.73524,152.514118,73.734873,2727
47l_L,Area_47l_(47_lateral)_L,76_L,L,47l,Fr,Inferior_Frontal,76,21,136.797521,154.852273,60.41374,1936
a47r_L,Area_anterior_47r_L,77_L,L,a47r,Fr,Inferior_Frontal,77,21,131.095281,174.396953,59.360514,3348
6r_L,Rostral_Area_6_L,78_L,L,6r,Fr,Premotor,78,8,143.753559,132.158363,88.451957,2248
IFJa_L,Area_IFJa_L,79_L,L,IFJa,Fr,Inferior_Frontal,79,21,131.411067,137.512846,97.774704,1012
IFJp_L,Area_IFJp_L,80_L,L,IFJp,Fr,Inferior_Frontal,80,21,131.397321,127.672619,101.36756,672
IFSp_L,Area_IFSp_L,81_L,L,IFSp,Fr,Inferior_Frontal,81,21,137.874185,149.780056,91.685927,1073
IFSa_L,Area_IFSa_L,82_L,L,IFSa,Fr,Inferior_Frontal,82,21,137.383825,159.179718,80.8819,1558
p9-46v_L,Area_posterior_9-46v_L,83_L,L,p9-46v,Fr,Dorsolateral_Prefrontal,83,22,138.145009,155.665913,98.46629,2655
46_L,Area_46_L,84_L,L,46,Fr,Dorsolateral_Prefrontal,84,22,127.033498,164.498689,105.07457,3433
a9-46v_L,Area_anterior_9-46v_L,85_L,L,a9-46v,Fr,Dorsolateral_Prefrontal,85,22,131.147188,176.872535,80.33382,2738
9-46d_L,Area_9-46d_L,86_L,L,9-46d,Fr,Dorsolateral_Prefrontal,86,22,120.191583,172.262563,93.433103,3184
9a_L,Area_9_anterior_L,87_L,L,9a,Fr,Dorsolateral_Prefrontal,87,22,112.60695,183.845628,95.711763,3511
10v_L,Area_10v_L,88_L,L,10v,Fr,Anterior_Cingulate_and_Medial_Prefrontal,88,19,95.085146,179.625174,52.61453,2161
a10p_L,Area_anterior_10p_L,89_L,L,a10p,Fr,Orbital_and_Polar_Frontal,89,20,116.405009,185.963731,63.137306,1158
10pp_L,Polar_10p_L,90_L,L,10pp,Fr,Orbital_and_Polar_Frontal,90,20,103.361926,187.352144,54.227239,1329
11l_L,Area_11l_L,91_L,L,11l,Fr,Orbital_and_Polar_Frontal,91,20,115.577956,172.905411,55.238477,2495
13l_L,Area_13l_L,92_L,L,13l,Fr,Orbital_and_Polar_Frontal,92,20,113.105234,153.630846,50.639198,1796
OFC_L,Orbital_Frontal_Complex_L,93_L,L,OFC,Fr,Orbital_and_Polar_Frontal,93,20,101.248092,155.905125,46.772628,1834
47s_L,Area_47s_L,94_L,L,47s,Fr,Orbital_and_Polar_Frontal,94,20,123.285457,146.215144,51.115986,1664
LIPd_L,Area_Lateral_IntraParietal_dorsal_L,95_L,L,LIPd,Par,Superior_Parietal,95,16,120.72028,70.784965,112.674825,572
6a_L,Area_6_anterior_L,96_L,L,6a,Fr,Premotor,96,8,115.421955,121.769876,126.648432,2742
i6-8_L,Inferior_6-8_Transitional_Area_L,97_L,L,i6-8,Fr,Dorsolateral_Prefrontal,97,22,119.66028,129.204864,127.283714,1357
s6-8_L,Superior_6-8_Transitional_Area_L,98_L,L,s6-8,Fr,Dorsolateral_Prefrontal,98,22,112.448914,151.434433,128.003218,1243
43_L,Area_43_L,99_L,L,43,Fr,Posterior_Opercular,99,9,147.447146,125.598309,80.808668,946
OP4_L,Area_OP4-PV_L,100_L,L,OP4,Par,Posterior_Opercular,100,9,151.038095,113.658333,86.099405,1680
OP1_L,Area_OP1-SII_L,101_L,L,OP1,Par,Posterior_Opercular,101,9,138.126662,103.983905,90.311407,1429
OP2-3_L,Area_OP2-3-VS_L,102_L,L,OP2-3,Par,Posterior_Opercular,102,9,131.5,109.658263,89.165266,714
52_L,Area_52_L,103_L,L,52,Temp,Early_Auditory,103,10,130.277162,105.017738,70.645233,451
RI_L,RetroInsular_Cortex_L,104_L,L,RI,Par,Early_Auditory,104,10,130.666225,90.109934,91.313907,755
PFcm_L,Area_PFcm_L,105_L,L,PFcm,Par,Early_Auditory,105,10,141.793228,93.845101,92.239193,1388
PoI2_L,Posterior_Insular_Area_2_L,106_L,L,PoI2,Ins,Insular_and_Frontal_Opercular,106,12,131.140744,121.382156,71.041031,2096
TA2_L,Area_TA2_L,107_L,L,TA2,Temp,Auditory_Association,107,11,141.08604,129.967515,63.526778,1139
FOP4_L,Frontal_Opercular_Area_4_L,108_L,L,FOP4,Fr,Insular_and_Frontal_Opercular,108,12,133.429119,138.892173,76.685824,1827
MI_L,Middle_Insular_Area_L,109_L,L,MI,Ins,Insular_and_Frontal_Opercular,109,12,127.923709,136.443075,73.143779,1704
Pir_L,Pirform_Cortex_L,110_L,L,Pir,Temp,Insular_and_Frontal_Opercular,110,12,122.938706,130.870602,53.682179,881
AVI_L,Anterior_Ventral_Insular_Area_L,111_L,L,AVI,Fr,Insular_and_Frontal_Opercular,111,12,121.113485,150.508678,67.823765,749
AAIC_L,Anterior_Agranular_Insula_Complex_L,112_L,L,AAIC,Ins,Insular_and_Frontal_Opercular,112,12,126.225504,139.71902,60.595101,1388
FOP1_L,Frontal_Opercular_Area_1_L,113_L,L,FOP1,Fr,Posterior_Opercular,113,9,140.305709,128.198895,75.653775,543
FOP3_L,Frontal_Opercular_Area_3_L,114_L,L,FOP3,Ins,Insular_and_Frontal_Opercular,114,12,126,128.96978,84.425824,364
FOP2_L,Frontal_Opercular_Area_2_L,115_L,L,FOP2,Fr,Insular_and_Frontal_Opercular,115,12,133.704403,121.251572,85.752621,477
PFt_L,Area_PFt_L,116_L,L,PFt,Par,Inferior_Parietal,116,17,146.277662,100.807933,106.926931,958
AIP_L,Anterior_IntraParietal_Area_L,117_L,L,AIP,Par,Superior_Parietal,117,16,130.372549,87.01364,112.687127,1173
EC_L,Entorhinal_Cortex_L,118_L,L,EC,Temp,Medial_Temporal,118,13,111.463631,115.664695,42.698403,1691
PreS_L,PreSubiculum_L,119_L,L,PreS,Temp,Medial_Temporal,119,13,109.856877,94.634758,60.597584,1076
H_L,Hippocampus_L,120_L,L,H,Temp,Medial_Temporal,120,13,120.203438,102.589542,54.63467,1396
ProS_L,ProStriate_Area_L,121_L,L,ProS,Par,Posterior_Cingulate,121,18,112.538922,71.057884,75.091816,501
PeEc_L,Perirhinal_Ectorhinal_Cortex_L,122_L,L,PeEc,Temp,Medial_Temporal,122,13,120.292051,116.757071,38.222388,3359
STGa_L,Area_STGa_L,123_L,L,STGa,Temp,Auditory_Association,123,11,139.957301,140.979968,50.18292,1897
PBelt_L,ParaBelt_Complex_L,124_L,L,PBelt,Temp,Early_Auditory,124,10,144.62098,100.147014,79.898162,1306
A5_L,Auditory_5_Complex_L,125_L,L,A5,Temp,Auditory_Association,125,11,152.259123,112.858549,68.432144,2439
PHA1_L,ParaHippocampal_Area_1_L,126_L,L,PHA1,Temp,Medial_Temporal,126,13,111.705833,90.678333,55.309167,1200
PHA3_L,ParaHippocampal_Area_3_L,127_L,L,PHA3,Temp,Medial_Temporal,127,13,124.479062,90.840871,51.123953,1194
STSda_L,Area_STSd_anterior_L,128_L,L,STSda,Temp,Auditory_Association,128,11,143.831461,123.554073,57.391854,1424
STSdp_L,Area_STSd_posterior_L,129_L,L,STSdp,Temp,Auditory_Association,129,11,143.062832,94.156637,72.083186,1130
STSvp_L,Area_STSv_posterior_L,130_L,L,STSvp,Temp,Auditory_Association,130,11,146.913625,91.085158,67.189173,1644
TGd_L,Area_TG_dorsal_L,131_L,L,TGd,Temp,Lateral_Temporal,131,14,127.26011,137.751977,35.261304,6701
TE1a_L,Area_TE1_anterior_L,132_L,L,TE1a,Temp,Lateral_Temporal,132,14,150.202228,122.362624,47.172277,4040
TE1p_L,Area_TE1_posterior_L,133_L,L,TE1p,Temp,Lateral_Temporal,133,14,152.940325,78.805713,61.515946,5111
TE2a_L,Area_TE2_anterior_L,134_L,L,TE2a,Temp,Lateral_Temporal,134,14,148.079856,104.370685,42.029109,3882
TF_L,Area_TF_L,135_L,L,TF,Temp,Medial_Temporal,135,13,132.406298,105.142089,41.219662,2604
TE2p_L,Area_TE2_posterior_L,136_L,L,TE2p,Temp,Lateral_Temporal,136,14,142.182155,83.665679,49.921881,2701
PHT_L,Area_PHT_L,137_L,L,PHT,Temp,Lateral_Temporal,137,14,150.083714,66.180795,74.12733,2843
PH_L,Area_PH_L,138_L,L,PH,Temp,MT+_Complex_and_Neighboring_Visual_Areas,138,5,139.578644,61.953921,65.579087,2257
TPOJ1_L,Area_TemporoParietoOccipital_Junction_1_L,139_L,L,TPOJ1,Temp,Temporo-Parieto-Occipital_Junction,139,15,144.16796,79.669019,81.137615,1417
TPOJ2_L,Area_TemporoParietoOccipital_Junction_2_L,140_L,L,TPOJ2,Par,Temporo-Parieto-Occipital_Junction,140,15,143.28,62.095686,87.299608,1275
TPOJ3_L,Area_TemporoParietoOccipital_Junction_3_L,141_L,L,TPOJ3,Occ,Temporo-Parieto-Occipital_Junction,141,15,133.675835,54.257367,91.510806,509
DVT_L,Dorsal_Transitional_Visual_Area_L,142_L,L,DVT,Occ,Posterior_Cingulate,142,18,108.042324,53.086307,103.566805,1205
PGp_L,Area_PGp_L,143_L,L,PGp,Occ,Inferior_Parietal,143,17,129.425332,40.278761,94.142146,1808
IP2_L,Area_IntraParietal_2_L,144_L,L,IP2,Par,Inferior_Parietal,144,17,131.750374,77.285501,114.758595,1338
IP1_L,Area_IntraParietal_1_L,145_L,L,IP1,Par,Inferior_Parietal,145,17,121.635182,55.480069,111.34922,1154
IP0_L,Area_IntraParietal_0_L,146_L,L,IP0,Occ,Inferior_Parietal,146,17,122.033257,45.806193,97.033257,872
PFop_L,Area_PF_Opercular_L,147_L,L,PFop,Par,Inferior_Parietal,147,17,154.842679,102.913551,96.221963,1284
PF_L,Area_PF_Complex_L,148_L,L,PF,Par,Inferior_Parietal,148,17,151.894297,89.867502,108.288348,4068
PFm_L,Area_PFm_Complex_L,149_L,L,PFm,Par,Inferior_Parietal,149,17,140.702334,70.065862,118.414359,5056
PGi_L,Area_PGi_L,150_L,L,PGi,Par,Inferior_Parietal,150,17,138.62727,61.299798,99.072355,3469
PGs_L,Area_PGs_L,151_L,L,PGs,Par,Inferior_Parietal,151,17,131.808463,48.857461,110.436526,3143
V6A_L,Area_V6A_L,152_L,L,V6A,Occ,Dorsal_Stream_Visual,152,3,112.534483,39.66092,114.188218,696
VMV1_L,VentroMedial_Visual_Area_1_L,153_L,L,VMV1,Occ,Ventral_Stream_Visual,153,4,110.244105,74.319001,64.307906,721
VMV3_L,VentroMedial_Visual_Area_3_L,154_L,L,VMV3,Occ,Ventral_Stream_Visual,154,4,119.618762,64.508982,61.017964,501
PHA2_L,ParaHippocampal_Area_2_L,155_L,L,PHA2,Temp,Medial_Temporal,155,13,121.389831,90.169492,58.122881,236
V4t_L,Area_V4t_L,156_L,L,V4t,Occ,MT+_Complex_and_Neighboring_Visual_Areas,156,5,138.695811,48.185792,74.724954,549
FST_L,Area_FST_L,157_L,L,FST,Occ,MT+_Complex_and_Neighboring_Visual_Areas,157,5,137.648765,57.787325,76.535983,931
V3CD_L,Area_V3CD_L,158_L,L,V3CD,Occ,MT+_Complex_and_Neighboring_Visual_Areas,158,5,125.152542,36.195686,81.429892,649
LO3_L,Area_Lateral_Occipital_3_L,159_L,L,LO3,Occ,MT+_Complex_and_Neighboring_Visual_Areas,159,5,136.842415,48.964654,85.864507,679
VMV2_L,VentroMedial_Visual_Area_2_L,160_L,L,VMV2,Occ,Ventral_Stream_Visual,160,4,119.360502,74.39185,66.366771,319
31pd_L,Area_31pd_L,161_L,L,31pd,Par,Posterior_Cingulate,161,18,102.136519,73.851536,106.767918,586
31a_L,Area_31a_L,162_L,L,31a,Par,Posterior_Cingulate,162,18,95.984389,88.707989,115.960514,1089
VVC_L,Ventral_Visual_Complex_L,163_L,L,VVC,Temp,Ventral_Stream_Visual,163,4,121.913003,74.920407,53.816752,2161
25_L,Area_25_L,164_L,L,25,Fr,Anterior_Cingulate_and_Medial_Prefrontal,164,19,95.291898,147.049945,57.497225,901
s32_L,Area_s32_L,165_L,L,s32,Fr,Anterior_Cingulate_and_Medial_Prefrontal,165,19,97.364516,159.174194,54.480645,310
pOFC_L,Posterior_OFC_Complex_L,166_L,L,pOFC,Fr,Anterior_Cingulate_and_Medial_Prefrontal,166,19,104.455746,137.165786,52.015852,1514
PoI1_L,Area_Posterior_Insular_1_L,167_L,L,PoI1,Ins,Insular_and_Frontal_Opercular,167,12,129.839378,113.685665,68.664076,1158
Ig_L,Insular_Granular_Complex_L,168_L,L,Ig,Ins,Insular_and_Frontal_Opercular,168,12,126.25974,110.064935,86.446429,616
FOP5_L,Area_Frontal_Opercular_5_L,169_L,L,FOP5,Fr,Insular_and_Frontal_Opercular,169,12,125.928129,152.826518,75.615861,807
p10p_L,Area_posterior_10p_L,170_L,L,p10p,Fr,Orbital_and_Polar_Frontal,170,20,114.061006,189.546541,72.976101,1590
p47r_L,Area_posterior_47r_L,171_L,L,p47r,Fr,Inferior_Frontal,171,21,134.951128,169.179699,72.101504,1330
TGv_L,Area_TG_Ventral_L,172_L,L,TGv,Temp,Lateral_Temporal,172,14,127.497751,123.922939,25.901949,3335
MBelt_L,Medial_Belt_Complex_L,173_L,L,MBelt,Temp,Early_Auditory,173,10,136.939267,110.757068,73.956021,955
LBelt_L,Lateral_Belt_Complex_L,174_L,L,LBelt,Temp,Early_Auditory,174,10,136.829565,99.368696,79.617391,575
A4_L,Auditory_4_Complex_L,175_L,L,A4,Temp,Auditory_Association,175,11,155.165477,104.292219,78.188243,2943
STSva_L,Area_STSv_anterior_L,176_L,L,STSva,Temp,Auditory_Association,176,11,142.689243,118.134462,52.832669,1004
TE1m_L,Area_TE1_Middle_L,177_L,L,TE1m,Temp,Lateral_Temporal,177,14,155.554922,101.395287,54.901178,2631
PI_L,Para-Insular_Area_L,178_L,L,PI,Temp,Insular_and_Frontal_Opercular,178,12,134.650549,124.293407,56.102198,910
a32pr_L,Area_anterior_32_prime_L,179_L,L,a32pr,Fr,Anterior_Cingulate_and_Medial_Prefrontal,179,19,97.782313,155.883735,101.53927,1617
p24_L,Area_posterior_24_L,180_L,L,p24,Fr,Anterior_Cingulate_and_Medial_Prefrontal,180,19,95.442887,162.526279,84.888577,1427
V1_R,Primary_Visual_Cortex_R,201_R,R,V1,Occ,Primary_Visual,201,1,78.060375,44.539286,74.333474,7089
MST_R,Medial_Superior_Temporal_Area_R,202_R,R,MST,Occ,MT+_Complex_and_Neighboring_Visual_Areas,202,5,43.620295,63.751227,78.013093,611
V6_R,Sixth_Visual_Area_R,203_R,R,V6,Occ,Dorsal_Stream_Visual,203,3,72.226868,49.256228,102.929715,1124
V2_R,Second_Visual_Area_R,204_R,R,V2,Occ,Early_Visual,204,2,77.026083,47.558042,76.305265,6211
V3_R,Third_Visual_Area_R,205_R,R,V3,Occ,Early_Visual,205,2,71.976821,41.580308,78.859282,4875
V4_R,Fourth_Visual_Area_R,206_R,R,V4,Occ,Early_Visual,206,2,57.656017,41.782393,71.003195,2817
V8_R,Eighth_Visual_Area_R,207_R,R,V8,Occ,Ventral_Stream_Visual,207,4,60.698264,51.949266,59.301736,749
4_R,Primary_Motor_Cortex_R,208_R,R,4,Fr,Somatosensory_and_Motor,208,6,60.980681,108.738321,126.822972,5694
3b_R,Primary_Sensory_Cortex_R,209_R,R,3b,Fr,Somatosensory_and_Motor,209,6,52.032115,105.85919,122.884387,2024
FEF_R,Frontal_Eye_Fields_R,210_R,R,FEF,Fr,Premotor,210,8,46.370874,123.157282,123.201942,1030
PEF_R,Premotor_Eye_Field_R,211_R,R,PEF,Fr,Premotor,211,8,45.069136,127.783951,109.748148,810
55b_R,Area_55b_R,212_R,R,55b,Fr,Premotor,212,8,41.45439,127.938619,119.895993,1173
V3A_R,Area_V3A_R,213_R,R,V3A,Occ,Dorsal_Stream_Visual,213,3,75.553398,36.584466,102.458252,1545
RSC_R,RetroSplenial_Complex_R,214_R,R,RSC,Par,Posterior_Cingulate,214,18,84.934198,92.434662,93.496756,1079
POS2_R,Parieto-Occipital_Sulcus_Area_2_R,215_R,R,POS2,Par,Posterior_Cingulate,215,18,80.662438,56.100589,108.736747,2207
V7_R,Seventh_Visual_Area_R,216_R,R,V7,Occ,Dorsal_Stream_Visual,216,3,62.285714,42.400534,103.668892,749
IPS1_R,IntraParietal_Sulcus_Area_1_R,217_R,R,IPS1,Par,Dorsal_Stream_Visual,217,3,64.710065,55.195753,111.066482,1083
FFC_R,Fusiform_Face_Complex_R,218_R,R,FFC,Temp,Ventral_Stream_Visual,218,4,49.72947,75.126159,51.324834,3020
V3B_R,Area_V3B_R,219_R,R,V3B,Occ,Dorsal_Stream_Visual,219,3,60.919386,48.422265,91.56238,521
LO1_R,Area_Lateral_Occipital_1_R,220_R,R,LO1,Occ,MT+_Complex_and_Neighboring_Visual_Areas,220,5,47.281977,45.175872,76.959302,688
LO2_R,Area_Lateral_Occipital_2_R,221_R,R,LO2,Occ,MT+_Complex_and_Neighboring_Visual_Areas,221,5,44.07,44.375,67.918333,600
PIT_R,Posterior_InferoTemporal_complex_R,222_R,R,PIT,Occ,Ventral_Stream_Visual,222,4,44.641614,49.954905,58.057753,1264
MT_R,Middle_Temporal_Area_R,223_R,R,MT,Occ,MT+_Complex_and_Neighboring_Visual_Areas,223,5,38.58547,57.830484,80.888889,702
A1_R,Primary_Auditory_Cortex_R,224_R,R,A1,Temp,Early_Auditory,224,10,46.328479,105.454693,81.894822,618
