GeneName_ENSEMBLGeneID,gene,function,DESeq2 baseMean expression,Pritzker_FoldChange,Pritzker_Pvalue,Pritzker_FDR,Stanley_FoldChange,Stanley Pvalue,Stanley_FDR
ENSG00000251767,RNU7-8P,"RNA, U7 small nuclear 8 pseudogene [Source:HGNC Symbol;Acc:HGNC:34104]",4.195059169,0.713331684,0.031662099,NA,2.613389624,0.040485841,NA
ENSG00000235613,NSRP1P1,nuclear speckle splicing regulatory protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38087],109.3827666,0.565402107,0.007818341,0.149910659,0.517123605,0.029442379,0.170905562
ENSG00000142875,PRKACB,"protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:HGNC:9381]",12736.15026,-0.266371006,0.032340497,0.240054823,-0.163404752,0.024958091,0.155756752
ENSG00000171517,LPAR3,lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:14298],109.8146398,0.676083112,0.013075766,0.17700297,0.789559652,0.011505168,0.097541052
ENSG00000137936,BCAR3,breast cancer anti-estrogen resistance 3 [Source:HGNC Symbol;Acc:HGNC:973],347.8306993,0.267030079,0.048711928,0.277702508,0.635179712,0.001898613,0.03469939
ENSG00000117598,PLPPR5,phospholipid phosphatase related 5 [Source:HGNC Symbol;Acc:HGNC:31703],705.9502258,-0.312305646,0.003070773,0.111929089,-0.265671677,0.013153466,0.104342248
ENSG00000162636,FAM102B,"family with sequence similarity 102, member B [Source:HGNC Symbol;Acc:HGNC:27637]",2326.271254,-0.37504396,0.010102275,0.161004102,-0.312444287,0.002030183,0.035974314
ENSG00000273382,RP5-1065J22.8,,39.73886897,0.40296241,0.002962731,0.111811549,0.598379577,0.039964735,NA
ENSG00000031698,SARS,seryl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:10537],5398.682516,-0.198535947,0.025051435,0.220302878,-0.147414804,0.03160219,0.177207849
ENSG00000143126,CELSR2,"cadherin, EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]",25146.49732,-0.277238899,0.026044019,0.222186419,-0.17884801,0.042343671,0.205893376
ENSG00000174151,CYB561D1,"cytochrome b561 family, member D1 [Source:HGNC Symbol;Acc:HGNC:26804]",911.9025327,-0.213395478,0.014565369,0.182780044,-0.20562326,0.043292886,0.208300813
ENSG00000156097,GPR61,G protein-coupled receptor 61 [Source:HGNC Symbol;Acc:HGNC:13300],383.0738523,-0.424180346,0.002380511,0.103402884,-0.5065377,0.000353312,0.013198329
ENSG00000184371,CSF1,colony stimulating factor 1 (macrophage) [Source:HGNC Symbol;Acc:HGNC:2432],1113.666228,0.444764813,0.025914867,0.222186419,0.509475878,0.025612272,0.157414068
ENSG00000168710,AHCYL1,adenosylhomocysteinase-like 1 [Source:HGNC Symbol;Acc:HGNC:344],11987.21574,0.464967894,0.003575692,0.118525202,0.486064567,6.99E-05,0.005149779
ENSG00000197106,SLC6A17,"solute carrier family 6 (neutral amino acid transporter), member 17 [Source:HGNC Symbol;Acc:HGNC:31399]",24347.64417,-0.328197601,0.0156027,0.187038216,-0.266125636,0.00198846,0.035600022
ENSG00000177272,KCNA3,"potassium channel, voltage gated shaker related subfamily A, member 3 [Source:HGNC Symbol;Acc:HGNC:6221]",237.8801433,-0.578762973,0.001457203,0.089920368,-0.807658288,0.026684039,NA
ENSG00000226419,SLC16A1-AS1,SLC16A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49445],90.96430877,0.272227518,0.013661626,0.179397755,0.436481989,0.039991143,0.199133895
ENSG00000092621,PHGDH,phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923],3044.83317,0.339784212,0.037315096,0.251488078,0.428246425,0.01073996,0.094389664
ENSG00000163386,No Gene Symbol Available,,263.8033671,0.390969151,0.008773627,0.154878459,0.639921446,0.000252837,0.011109408
ENSG00000117289,No Gene Symbol Available,,2520.117122,0.385787195,0.026973679,0.223115311,0.65257226,0.000289529,0.012067238
ENSG00000186275,No Gene Symbol Available,,159.3805471,0.265967556,0.01778705,0.194021849,0.414094572,0.004286609,0.055898418
ENSG00000143420,ENSA,endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360],5704.094134,-0.145574208,0.031750109,0.238346376,-0.26679622,3.56E-06,0.000886732
ENSG00000213190,MLLT11,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11 [Source:HGNC Symbol;Acc:HGNC:16997]",4063.40693,-0.266798104,0.022245639,0.210456386,-0.266637205,0.012877151,0.103288138
ENSG00000143416,SELENBP1,selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719],1047.65002,0.560413151,0.000740489,0.07701434,0.49546166,0.009074775,0.085296946
ENSG00000160678,S100A1,S100 calcium binding protein A1 [Source:HGNC Symbol;Acc:HGNC:10486],86.17880377,0.61478828,0.000489506,0.071342228,1.205894434,0.009621108,NA
ENSG00000160716,CHRNB2,"cholinergic receptor, nicotinic, beta 2 (neuronal) [Source:HGNC Symbol;Acc:HGNC:1962]",4003.608492,-0.32836173,0.034515872,0.245784059,-0.432282582,0.000441773,0.015016811
ENSG00000163346,PBXIP1,pre-B-cell leukemia homeobox interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21199],4621.700604,0.450082103,0.010255598,0.161817848,0.722776798,2.61E-06,0.000735888
ENSG00000177628,GBA,"glucosidase, beta, acid [Source:HGNC Symbol;Acc:HGNC:4177]",1520.551988,-0.273177609,0.010687325,0.165139245,-0.224288089,0.031072902,0.175803996
ENSG00000132718,SYT11,synaptotagmin XI [Source:HGNC Symbol;Acc:HGNC:19239],22857.98373,-0.245597661,0.012963197,0.176999211,-0.200497181,0.011435303,0.097365475
ENSG00000116604,MEF2D,myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997],9476.352587,-0.312972088,0.006473569,0.140996765,-0.175317681,0.039473425,0.198140173
ENSG00000188931,CFAP126,cilia and flagella associated protein 126 [Source:HGNC Symbol;Acc:HGNC:32325],577.6855402,-0.20468413,0.049647294,0.279546031,-0.369536277,0.016477373,0.119888495
ENSG00000162747,FCGR3B,"Fc fragment of IgG, low affinity IIIb, receptor (CD16b) [Source:HGNC Symbol;Acc:HGNC:3620]",8.607676819,0.861596812,0.036118606,NA,2.300632182,0.012680306,NA
ENSG00000152332,UHMK1,U2AF homology motif (UHM) kinase 1 [Source:HGNC Symbol;Acc:HGNC:19683],6017.513891,-0.269571024,0.046059285,0.271520119,-0.260485792,0.012261788,0.100647328
ENSG00000271917,RP11-506O24.2,,22.00718935,0.68675429,0.005523955,0.133558261,1.229093501,0.035972456,NA
ENSG00000143195,ILDR2,immunoglobulin-like domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:18131],997.9339901,-0.316698593,0.005321597,0.13305795,-0.366908062,0.005294612,0.063019983
ENSG00000198842,DUSP27,dual specificity phosphatase 27 (putative) [Source:HGNC Symbol;Acc:HGNC:25034],103.4029726,-0.551379765,0.000887076,0.079099157,-0.955211057,0.004648935,NA
ENSG00000143190,POU2F1,POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212],1717.511885,0.254560104,0.003097212,0.111929089,0.344376093,0.000393852,0.01394837
ENSG00000143155,TIPRL,TOR signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:30231],582.9966523,-0.290755712,0.002099651,0.099387946,-0.251101472,0.022094562,0.143625731
ENSG00000010165,METTL13,methyltransferase like 13 [Source:HGNC Symbol;Acc:HGNC:24248],1209.06106,-0.195214665,0.041768128,0.262851817,-0.223639658,0.026583615,0.160417513
ENSG00000197959,DNM3,dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125],6655.529033,-0.276988364,0.033220462,0.242402141,-0.24216686,0.006504933,0.070558108
ENSG00000120337,TNFSF18,"tumor necrosis factor (ligand) superfamily, member 18 [Source:HGNC Symbol;Acc:HGNC:11932]",18.08430912,-0.515846155,0.019196165,0.199452028,-1.624623687,0.010170162,NA
ENSG00000203739,RP11-296O14.3,,76.34381059,0.336373153,0.001346984,0.087506579,0.572786647,0.040200114,NA
ENSG00000237249,RP1-102G20.2,,4.144316912,0.693010313,0.036035649,NA,2.067599266,0.046714749,NA
ENSG00000227579,RP1-35C21.2,,13.73299129,-0.481582128,0.040181337,0.259172533,-1.904658756,0.008395988,NA
ENSG00000075391,RASAL2,RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874],2520.181857,-0.203407021,0.029452732,0.231716364,-0.193791173,0.047855881,0.220045383
ENSG00000213058,RP4-765C7.2,,9.853374468,0.66517036,0.004293372,0.123753885,1.757254464,0.02095716,NA
ENSG00000260938,No Gene Symbol Available,,95.128441,0.244443977,0.044450231,0.267947202,0.664470701,0.002524025,0.041049444
ENSG00000229407,RP11-12M5.3,,39.84787001,-0.362299665,0.016985171,0.192267186,0.927106217,0.047486392,NA
ENSG00000135824,RGS8,regulator of G-protein signaling 8 [Source:HGNC Symbol;Acc:HGNC:16810],118.0663835,-0.841089008,0.000399285,0.06456465,-1.094184429,0.01104778,NA
ENSG00000135838,NPL,N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) [Source:HGNC Symbol;Acc:HGNC:16781],284.3373665,0.391029546,0.019533437,0.200594155,0.655426746,0.001302778,0.02754749
ENSG00000116667,C1orf21,chromosome 1 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:15494],5908.901195,-0.231912265,0.045731698,0.270808421,-0.140122456,0.038661606,0.196005982
ENSG00000157181,C1orf27,chromosome 1 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:24299],649.7794661,0.312639174,0.00521001,0.132978057,0.252711457,0.025835391,0.158149957
ENSG00000162630,B3GALT2,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:917]",1690.93486,-0.336427474,0.014842805,0.183084269,-0.393104574,0.001415742,0.028990287
ENSG00000116852,KIF21B,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442],10351.11627,-0.252561799,0.025288288,0.22095495,-0.297734724,0.001118324,0.024949588
ENSG00000134375,TIMM17A,translocase of inner mitochondrial membrane 17 homolog A (yeast) [Source:HGNC Symbol;Acc:HGNC:17315],947.2121666,-0.193187269,0.041051293,0.262153155,-0.422864255,3.98E-05,0.003618255
ENSG00000163444,TMEM183A,transmembrane protein 183A [Source:HGNC Symbol;Acc:HGNC:20173],1424.37313,-0.267621428,0.010263629,0.161829312,-0.220729431,0.004413618,0.056699027
ENSG00000133048,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39) [Source:HGNC Symbol;Acc:HGNC:1932],1523.326622,1.287262981,0.007457548,0.147902468,1.632817628,0.001378749,0.028502933
ENSG00000170382,LRRN2,leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914],3735.682992,-0.289050243,0.021729502,0.209700069,-0.238288601,0.014860986,0.112644024
ENSG00000136653,No Gene Symbol Available,,699.6622953,-0.353386698,0.007168238,0.14580631,-0.381396836,0.001697793,0.032110792
ENSG00000143473,KCNH1,"potassium channel, voltage gated eag related subfamily H, member 1 [Source:HGNC Symbol;Acc:HGNC:6250]",551.1186673,-0.446444737,0.029389704,0.231532761,-0.698423802,0.01263813,0.102340991
ENSG00000117650,NEK2,NIMA-related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745],28.28278062,-0.438003195,0.022142275,0.210456386,-1.120773899,0.002771091,NA
ENSG00000123684,LPGAT1,lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985],3107.216684,-0.298258301,0.01078679,0.165705564,-0.172393377,0.02210584,0.143627015
ENSG00000250536,ABHD17AP3,abhydrolase domain containing 17A pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:34041],7.657148087,0.614032719,0.044266799,NA,-2.143809219,0.034174354,NA
ENSG00000082482,KCNK2,"potassium channel, two pore domain subfamily K, member 2 [Source:HGNC Symbol;Acc:HGNC:6277]",376.4599379,-0.303556766,0.03862359,0.255640393,-0.512699636,0.001566996,0.030681879
ENSG00000116141,MARK1,MAP/microtubule affinity-regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896],1391.785538,-0.248183169,0.01250667,0.175292019,-0.306023065,6.29E-05,0.004713951
ENSG00000143819,EPHX1,"epoxide hydrolase 1, microsomal (xenobiotic) [Source:HGNC Symbol;Acc:HGNC:3401]",2455.253842,0.418616018,0.007450929,0.147902468,0.723186248,5.65E-06,0.001221203
ENSG00000203685,C1orf95,chromosome 1 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:30491],14845.08208,-0.410781537,0.001850196,0.096214554,-0.254080443,0.018937033,0.130495386
ENSG00000135744,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8) [Source:HGNC Symbol;Acc:HGNC:333]",4736.973463,0.632627119,0.005236048,0.133004258,0.850175274,9.35E-05,0.006117971
ENSG00000135750,KCNK1,"potassium channel, two pore domain subfamily K, member 1 [Source:HGNC Symbol;Acc:HGNC:6272]",2148.147508,-0.267993149,0.025762588,0.221380378,-0.471615001,7.23E-06,0.001358486
ENSG00000173726,TOMM20,translocase of outer mitochondrial membrane 20 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:20947],9557.901179,-0.241418576,0.040375023,0.259939375,-0.185911458,0.015962728,0.117561867
ENSG00000168243,GNG4,"guanine nucleotide binding protein (G protein), gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]",2647.348284,-0.513731499,4.53E-06,0.013472042,-0.236654318,0.024597928,0.154103102
ENSG00000180875,GREM2,"gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]",844.9400115,-0.320639255,0.026004598,0.222186419,-0.559212533,0.000284152,0.012014153
ENSG00000054277,OPN3,opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007],341.5088856,-0.388009286,0.019010075,0.1988713,-0.51460419,0.032046827,0.17812899
ENSG00000180287,PLD5,"phospholipase D family, member 5 [Source:HGNC Symbol;Acc:HGNC:26879]",422.9090756,-0.209782904,0.013999214,0.181034113,-0.250819229,0.044307788,0.210991019
ENSG00000224727,FCF1P7,FCF1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:44619],26.7683956,0.73062476,0.00019256,0.049031972,0.783502263,0.011020738,NA
ENSG00000236031,RP11-269F20.1,,23.8591134,0.483131544,0.011289286,0.167827622,0.889250347,0.036760512,NA
ENSG00000035687,ADSS,adenylosuccinate synthase [Source:HGNC Symbol;Acc:HGNC:292],1119.975943,-0.2109223,0.02191639,0.210203949,-0.2025071,0.046015148,0.215402077
ENSG00000227953,LINC01341,long intergenic non-protein coding RNA 1341 [Source:HGNC Symbol;Acc:HGNC:49457],61.40121351,0.375465338,0.025385671,0.22095495,0.711861037,0.043511597,NA
ENSG00000197067,OR2T32P,"olfactory receptor, family 2, subfamily T, member 32 pseudogene [Source:HGNC Symbol;Acc:HGNC:31254]",7.865714051,0.865791976,0.000692544,NA,1.148031246,0.04823004,NA
ENSG00000266949,No Gene Symbol Available,,20.02907336,-0.535299959,0.041853607,0.262961761,-0.960459878,0.049914041,NA
ENSG00000226277,AC105393.2,,10.83695556,-0.772789166,0.010793713,0.165705564,-2.645638624,0.00771156,NA
ENSG00000182551,ADI1,acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576],759.6284913,0.249509288,0.001895354,0.09705879,0.282344383,0.021174042,0.139735874
ENSG00000223884,AC019048.1,,13.71958413,0.467352441,0.043203432,0.266226881,1.6541365,0.007969008,NA
ENSG00000236790,LINC00299,long intergenic non-protein coding RNA 299 [Source:HGNC Symbol;Acc:HGNC:27940],130.763403,0.599744893,2.52E-05,0.019152134,0.758696033,0.006324849,0.069476855
ENSG00000162975,KCNF1,"potassium channel, voltage gated modifier subfamily F, member 1 [Source:HGNC Symbol;Acc:HGNC:6246]",4995.113284,-0.314415057,0.006478831,0.140996765,-0.300183261,0.002911106,0.04475656
ENSG00000150873,C2orf50,chromosome 2 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26324],151.6341499,-0.395773022,0.000289674,0.059958883,-0.675359179,0.023285798,NA
ENSG00000169006,NTSR2,neurotensin receptor 2 [Source:HGNC Symbol;Acc:HGNC:8040],975.8878028,0.429627427,0.048150305,0.276693355,0.701298632,0.001947273,0.035153973
ENSG00000134324,LPIN1,lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345],2775.648217,0.174268122,0.002536994,0.104270915,0.228624852,0.006552925,0.070841551
ENSG00000197872,FAM49A,"family with sequence similarity 49, member A [Source:HGNC Symbol;Acc:HGNC:25373]",5604.771127,-0.339361358,0.012178963,0.173509408,-0.21339807,0.005049774,0.061182034
ENSG00000170745,KCNS3,"potassium voltage-gated channel, modifier subfamily S, member 3 [Source:HGNC Symbol;Acc:HGNC:6302]",227.2456456,-0.399884357,0.004008381,0.121299569,-0.762135705,0.000230299,0.010585601
ENSG00000068697,LAPTM4A,lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924],1150.155535,0.168177433,0.027319193,0.224231968,0.192036044,0.039723589,0.198725267
ENSG00000084731,KIF3C,kinesin family member 3C [Source:HGNC Symbol;Acc:HGNC:6321],25156.59745,-0.313682645,0.0264429,0.222186419,-0.29566774,0.000131119,0.007487043
ENSG00000084754,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit [Source:HGNC Symbol;Acc:HGNC:4801]",2659.526019,0.211326004,0.008323777,0.151641967,0.218549971,0.010478695,0.092831593
ENSG00000138029,HADHB,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit [Source:HGNC Symbol;Acc:HGNC:4803]",1947.348133,0.332126383,0.01836837,0.196862365,0.265342046,0.033138856,0.181549387
ENSG00000138018,EPT1,ethanolaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:29361],2723.967492,-0.274727895,0.036149444,0.249549976,-0.25978416,0.004943768,0.060431424
ENSG00000171303,KCNK3,"potassium channel, two pore domain subfamily K, member 3 [Source:HGNC Symbol;Acc:HGNC:6278]",1897.423933,-0.214209549,0.024562583,0.218730844,-0.351422003,0.000169121,0.008839288
ENSG00000138028,CGREF1,cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962],1734.787942,-0.230390936,0.026071835,0.222186419,-0.220374813,0.017305878,0.123727957
ENSG00000143994,ABHD1,abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553],56.45022541,0.355241895,0.012288156,0.174202699,0.843295705,0.031129845,NA
ENSG00000213626,LBH,limb bud and heart development [Source:HGNC Symbol;Acc:HGNC:29532],195.0533056,-0.48144845,0.00208386,0.099348935,-0.987346954,2.19E-05,0.002600151
ENSG00000205221,VIT,vitrin [Source:HGNC Symbol;Acc:HGNC:12697],64.84405932,-0.466859933,0.001495749,0.090529561,-0.85235046,0.01997606,NA
ENSG00000138079,SLC3A1,"solute carrier family 3 (amino acid transporter heavy chain), member 1 [Source:HGNC Symbol;Acc:HGNC:11025]",56.43250677,0.402957274,0.010370456,0.162618563,0.610953287,0.029065861,NA
