symbol,Ensembl gene id,colon,kidney,liver,pancreas,lung,prostate,brain,stomach,spleen,lymph node,appendix,small intestine,adrenal gland,duodenum,adipose tissue,endometrium,placenta,testis,gall bladder,urinary bladder,thyroid gland,esophagus,heart,skin,ovary,bone marrow,salivary gland,Category
,ENSG00000267596,22.33,6.56,11.4,0.09,0.51,0.06,0.0,0.56,0.0,0.07,4.93,20.95,0.0,20.45,0.0,0.08,0.0,0.04,3.8,2.56,0.0,0.15,0.0,0.05,0.0,0.0,0.0,Mixed high
TRPM2,ENSG00000142185,3.13,0.84,1.43,0.7,2.03,0.87,5.83,1.98,4.95,4.64,5.54,3.35,2.38,1.85,2.47,1.22,4.1,1.58,3.08,2.45,0.53,1.51,0.69,0.96,0.75,9.76,1.46,Mixed low
IL13RA1,ENSG00000131724,52.81,27.1,61.26,10.42,44.38,20.59,12.76,33.63,27.88,24.64,40.31,54.89,34.09,43.63,37.33,31.75,24.26,18.52,41.56,34.99,28.46,53.05,13.18,17.79,34.7,4.5,11.27,Expressed in all low
GFI1,ENSG00000162676,3.44,0.26,0.51,4.79,2.51,0.62,0.11,3.28,5.33,6.9,5.12,5.5,0.47,4.01,0.3,0.73,0.33,1.12,2.1,2.57,0.49,0.56,0.25,0.13,0.38,32.12,0.74,Mixed high
KRTAP2-4,ENSG00000213417,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
SLC17A9,ENSG00000101194,10.17,0.88,20.53,1.69,4.72,2.84,0.87,28.78,15.39,14.21,14.63,4.82,1.64,9.17,2.92,4.37,6.65,1.77,5.77,9.41,0.9,2.4,1.45,2.32,2.13,16.62,3.25,Mixed high
PRSS16,ENSG00000112812,10.05,3.9,0.39,12.98,8.32,6.04,0.95,15.35,0.71,1.35,2.31,11.55,1.11,12.89,0.61,1.99,10.01,3.32,8.3,7.0,22.88,6.49,0.25,9.08,6.01,0.14,15.42,Mixed high
TMEM138,ENSG00000149483,19.8,25.4,18.56,8.1,21.69,22.8,12.39,14.39,28.1,32.07,23.3,23.22,68.49,18.27,22.8,22.6,22.55,21.86,25.09,30.61,22.3,15.85,12.9,26.67,22.94,21.11,13.75,Expressed in all low
ITGA3,ENSG00000005884,31.04,33.72,1.82,6.14,103.36,17.07,6.54,31.39,11.66,7.17,13.06,30.83,22.21,32.98,9.69,21.62,31.63,4.59,31.47,42.38,38.74,16.39,9.82,51.62,16.57,0.47,9.18,Mixed high
CALU,ENSG00000128595,53.23,30.46,36.48,21.77,46.3,81.95,29.23,45.12,31.17,31.72,104.0,28.08,46.2,27.94,47.27,105.4,138.46,35.02,84.45,122.93,70.54,53.86,159.64,18.61,38.61,13.06,42.45,Expressed in all high
SCN2A,ENSG00000136531,0.14,2.35,0.06,0.08,0.21,0.23,36.14,0.23,0.11,0.1,0.15,0.2,1.51,0.06,0.35,1.0,0.15,0.58,1.03,0.16,0.04,0.23,0.11,0.07,0.33,0.01,0.15,Moderately tissue enriched
CBY1,ENSG00000100211,20.16,24.48,12.64,14.25,24.48,31.65,14.36,20.87,17.36,11.55,11.32,14.57,34.61,15.94,24.94,31.55,25.0,22.82,21.85,28.05,28.32,20.96,35.44,23.33,35.48,2.61,22.57,Expressed in all low
MRPL54,ENSG00000183617,32.84,34.34,37.19,38.69,36.99,37.23,26.04,34.44,37.49,51.41,33.07,33.15,54.19,38.82,41.32,34.58,33.43,35.51,32.62,40.06,54.56,42.61,54.51,27.12,37.08,56.34,50.45,Expressed in all high
ARHGAP1,ENSG00000175220,28.15,22.89,14.15,15.01,32.9,48.46,32.54,33.01,42.46,32.26,39.25,24.44,23.94,24.18,40.97,48.83,38.9,15.56,56.89,80.09,32.6,55.82,88.58,38.25,45.45,24.26,27.7,Expressed in all high
NME5,ENSG00000112981,1.4,15.43,0.89,2.35,5.4,6.64,11.62,2.39,0.27,0.52,0.84,1.08,7.02,1.4,1.58,6.2,0.22,52.17,10.65,2.73,14.21,1.77,3.58,0.23,5.26,0.12,3.63,Mixed high
RGS7BP,ENSG00000186479,0.84,1.82,0.52,0.12,1.61,4.83,28.56,1.15,0.81,0.39,0.75,1.17,4.03,0.8,2.14,3.17,0.01,1.19,2.0,1.45,0.49,1.99,2.87,0.33,2.46,0.0,0.48,Moderately tissue enriched
CLDN17,ENSG00000156282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,6.75,0.0,0.14,0.0,0.0,0.0,Moderately tissue enriched
BMI1,ENSG00000168283,23.39,25.67,21.14,14.07,26.88,35.73,31.93,28.33,35.68,29.51,26.27,20.12,32.6,21.65,23.45,38.31,27.41,50.2,26.17,28.6,26.81,24.38,17.79,14.83,22.44,18.26,17.15,Expressed in all high
CXorf65,ENSG00000204165,0.86,0.08,0.0,0.0,2.04,0.37,0.0,1.89,5.05,7.67,10.05,1.46,0.0,2.4,0.41,0.13,0.6,19.66,1.18,0.77,0.79,0.47,0.47,0.72,0.0,9.75,0.29,Mixed high
,ENSG00000204533,1.88,1.65,1.57,2.59,2.72,3.5,1.61,4.04,2.14,1.91,3.31,2.38,2.23,2.86,1.05,2.41,0.96,1.51,1.37,0.91,1.89,0.62,0.48,2.13,2.42,0.24,2.02,Mixed low
LGALS7B,ENSG00000178934,0.05,0.29,0.0,0.0,0.07,0.59,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1.01,0.07,0.12,0.1,142.8,0.0,1578.29,0.0,0.11,2.1,Moderately tissue enriched
TMSB10,ENSG00000034510,840.31,254.16,287.81,246.2,1003.47,322.18,527.59,596.87,966.17,1273.1,1117.89,899.72,378.87,548.85,597.05,715.12,845.34,446.27,843.23,904.63,361.48,651.35,442.9,283.79,1119.1,647.54,425.63,Expressed in all high
ISG15,ENSG00000187608,29.4,9.67,18.77,7.52,29.68,11.54,12.42,23.12,61.59,20.85,25.75,19.63,8.2,27.41,17.92,19.7,39.68,13.87,25.45,18.83,5.59,7.36,12.0,3.67,3.79,55.41,167.1,Expressed in all low
SLC10A1,ENSG00000100652,0.2,0.0,158.48,0.07,0.08,0.0,0.04,0.12,0.06,0.01,0.02,0.05,0.06,0.0,0.04,0.0,0.03,0.07,0.28,0.02,0.06,0.0,0.01,0.05,0.0,0.1,0.03,Highly tissue enriched
,ENSG00000258472,2.93,15.57,1.75,0.5,2.78,2.12,3.74,2.86,3.06,5.38,5.15,4.98,4.73,4.64,1.61,2.32,1.65,9.41,1.85,1.56,2.83,1.33,0.82,5.24,1.75,26.31,1.41,Mixed high
B4GAT1,ENSG00000174684,10.47,25.96,10.48,10.36,18.72,17.45,90.74,12.41,8.67,5.88,5.56,9.97,35.77,12.64,16.88,17.84,20.48,8.39,10.17,9.48,17.54,7.86,25.48,7.84,29.24,0.79,10.92,Mixed high
LRRC53,ENSG00000162621,0.05,0.0,0.0,0.0,0.01,0.0,0.18,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,Not detected
SULT1A3,ENSG00000261052,25.59,8.72,11.52,3.6,26.64,8.15,6.43,11.36,17.06,19.22,17.71,99.24,8.98,134.98,15.1,13.65,12.03,7.75,13.41,10.35,11.16,8.12,9.98,23.37,7.94,12.94,14.86,Expressed in all low
STMND1,ENSG00000230873,1.2,0.0,0.03,1.42,3.55,0.09,0.22,0.03,0.03,0.01,0.12,0.1,0.1,0.16,0.06,0.62,0.09,7.21,5.47,0.0,0.0,0.11,0.07,0.03,0.03,0.0,0.0,Mixed low
DHRS13,ENSG00000167536,3.66,4.64,1.53,2.05,3.12,10.29,2.44,4.2,4.56,5.56,6.22,2.53,3.21,3.7,1.57,3.14,3.9,4.09,2.92,9.8,4.39,4.35,1.51,5.0,3.61,21.97,8.68,Expressed in all low
ILDR1,ENSG00000145103,9.97,7.61,0.04,3.49,3.51,8.33,0.0,1.04,0.35,1.09,1.35,2.57,0.25,2.88,0.08,1.41,2.25,0.81,4.21,3.85,8.33,3.13,0.02,1.01,0.05,0.14,6.86,Mixed low
THOC6,ENSG00000131652,14.16,9.89,7.65,7.77,15.0,12.72,5.36,14.06,16.38,21.62,17.68,16.36,10.52,19.8,7.61,15.4,22.91,8.97,12.93,13.9,8.66,12.81,6.74,23.26,9.28,15.59,10.99,Expressed in all low
RGP1,ENSG00000107185,15.02,15.27,3.1,5.56,11.03,9.03,9.86,9.87,9.37,8.52,11.75,12.87,9.59,11.3,9.46,10.32,11.35,10.71,8.28,11.3,17.43,10.99,13.8,8.01,12.51,3.84,9.65,Expressed in all low
CHRD,ENSG00000090539,2.62,7.55,19.86,6.85,4.64,7.09,10.55,2.98,7.71,2.71,3.3,2.43,6.53,2.52,7.94,29.1,4.71,1.82,5.02,3.93,1.61,2.54,4.86,3.44,9.17,0.06,1.7,Mixed high
CLN5,ENSG00000102805,14.22,29.72,11.33,5.78,15.43,19.99,10.39,16.64,14.56,16.31,12.29,10.89,16.22,10.43,16.72,16.06,16.48,13.81,20.7,17.69,59.86,9.78,9.25,7.98,22.94,6.59,14.2,Expressed in all low
PTBP3,ENSG00000119314,33.82,22.85,10.79,6.59,20.17,10.79,7.18,32.79,24.89,46.08,32.76,29.14,11.75,25.7,8.65,16.97,22.27,23.88,30.3,43.39,30.13,58.8,6.24,24.56,10.28,26.36,13.85,Expressed in all low
CHAF1B,ENSG00000159259,3.3,2.31,0.78,2.91,2.72,4.34,3.12,2.23,1.58,10.55,4.87,3.99,0.95,2.36,1.56,2.75,2.27,7.7,1.94,2.24,1.7,3.49,0.74,19.02,2.57,14.96,2.86,Mixed high
ZKSCAN5,ENSG00000196652,3.67,3.8,2.1,1.43,3.86,3.95,5.28,3.3,4.19,4.91,4.54,2.9,3.71,2.58,3.79,4.36,3.95,10.44,4.15,4.93,5.46,3.56,3.13,2.5,5.04,3.19,2.34,Expressed in all low
VTI1B,ENSG00000100568,61.0,65.63,42.35,26.52,37.0,32.06,55.03,46.37,32.17,38.73,39.09,40.82,46.96,42.32,109.45,33.33,43.26,55.99,48.16,50.4,61.25,58.62,73.79,44.3,31.4,31.72,61.14,Expressed in all high
CYB561,ENSG00000008283,26.77,19.81,5.9,42.23,34.79,65.71,11.78,48.84,9.53,8.0,13.32,29.11,110.39,33.29,10.43,14.82,16.77,6.12,18.45,17.7,43.38,30.14,8.36,28.76,10.95,1.81,45.63,Expressed in all low
CBX1,ENSG00000108468,27.4,33.99,12.96,7.85,21.9,32.34,52.25,17.34,24.35,27.99,29.05,15.39,27.27,13.15,23.74,53.52,26.11,59.16,26.16,28.68,30.86,25.02,21.86,19.88,55.86,8.19,16.21,Expressed in all low
DCAF4L2,ENSG00000176566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Highly tissue enriched
MAP9,ENSG00000164114,2.15,8.21,0.85,3.34,4.98,12.08,15.86,5.46,2.14,3.56,4.19,1.46,6.66,0.87,3.31,8.9,4.01,12.66,8.81,5.13,16.47,3.25,5.32,0.51,5.48,1.35,1.81,Mixed high
P2RY12,ENSG00000169313,2.17,0.68,0.85,0.43,2.28,0.64,52.6,1.47,5.63,9.61,2.6,2.81,4.39,1.5,7.7,0.71,1.44,0.48,2.63,1.77,0.65,1.66,1.14,0.32,1.4,0.35,2.59,Moderately tissue enriched
TPRG1L,ENSG00000158109,40.01,47.66,31.1,16.5,32.58,28.07,48.92,29.79,25.27,25.16,19.95,44.12,33.62,39.47,34.62,29.89,21.06,20.27,37.66,34.66,42.16,49.84,35.71,39.87,41.95,19.71,27.23,Expressed in all high
APPL2,ENSG00000136044,60.71,21.38,8.78,11.12,18.54,37.65,23.42,29.78,17.63,21.29,19.48,52.64,21.41,37.26,24.79,30.0,20.31,42.66,34.63,20.08,15.11,17.76,12.83,59.75,27.98,22.4,11.03,Expressed in all low
LIPH,ENSG00000163898,38.54,5.65,0.11,2.54,17.58,7.14,0.67,42.39,0.31,0.02,2.99,11.02,0.34,9.27,0.78,0.24,0.51,3.33,13.7,8.46,0.34,9.92,1.45,3.31,0.54,0.02,3.89,Mixed high
KCND1,ENSG00000102057,0.88,0.63,0.27,0.22,0.8,1.17,1.75,0.94,1.81,1.37,1.34,0.81,0.76,0.66,1.9,1.87,0.85,0.87,2.64,1.36,0.71,0.51,0.75,0.46,0.8,1.59,0.35,Mixed low
FAM47B,ENSG00000189132,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Highly tissue enriched
MTRES1,ENSG00000130349,23.15,25.46,16.09,6.27,11.38,16.24,15.54,14.82,12.36,15.92,13.68,20.1,40.49,24.99,20.63,13.35,11.19,11.91,13.43,18.01,22.86,16.05,32.39,13.99,14.98,7.11,17.23,Expressed in all low
CERT1,ENSG00000113163,19.97,22.59,14.52,7.15,19.96,19.71,21.43,19.83,19.09,19.02,16.71,18.05,23.33,16.12,32.71,19.32,16.7,29.29,23.78,23.06,42.98,24.54,13.74,14.21,18.88,17.04,8.61,Expressed in all low
VAV1,ENSG00000141968,5.85,1.08,2.31,0.39,9.33,2.42,2.44,5.48,32.07,42.25,33.05,6.16,3.37,4.87,1.52,1.72,7.91,2.33,6.7,12.75,1.37,3.65,1.42,1.3,1.1,30.89,4.57,Mixed high
CDH5,ENSG00000179776,8.99,11.49,15.83,3.33,85.82,6.88,3.98,6.78,17.64,11.51,12.95,6.1,6.86,6.13,74.87,15.75,159.94,9.13,29.19,22.23,26.61,11.27,34.53,6.39,4.63,0.14,4.52,Mixed high
LIPF,ENSG00000182333,6.45,12.56,0.0,0.05,0.19,6.5,5.25,5175.44,0.53,0.0,0.09,0.02,0.03,216.08,0.1,0.03,0.13,0.74,0.06,0.19,0.1,0.05,0.02,0.0,0.0,0.0,0.0,Moderately tissue enriched
FZD7,ENSG00000155760,7.23,8.06,0.91,0.96,6.7,21.13,2.74,4.7,2.32,4.36,6.37,7.77,3.58,7.04,9.47,11.54,6.23,2.39,8.27,13.73,3.51,10.84,12.69,4.71,32.86,0.26,18.39,Mixed high
EFNB2,ENSG00000125266,32.74,14.03,4.35,2.2,36.61,15.53,11.54,27.05,11.83,7.35,9.9,15.95,6.12,16.37,14.75,16.25,27.87,8.95,11.63,11.51,14.05,14.48,11.88,12.05,4.13,0.72,3.78,Mixed high
CMSS1,ENSG00000184220,10.94,11.96,10.35,11.13,12.68,13.82,22.22,9.42,10.5,34.24,18.56,8.59,36.57,7.25,15.26,32.38,14.48,32.27,29.5,37.0,45.78,35.62,28.14,20.19,21.84,12.05,11.74,Expressed in all low
RIN2,ENSG00000132669,20.13,21.81,5.62,6.79,32.17,14.19,14.72,14.47,23.24,6.36,12.11,15.15,10.45,13.81,17.44,29.76,24.83,3.48,24.15,19.0,18.38,19.16,18.87,16.82,16.59,6.7,19.04,Expressed in all low
DVL1,ENSG00000107404,14.6,14.05,8.74,16.23,13.52,16.75,13.11,21.04,12.91,5.98,7.35,14.1,13.72,16.1,21.37,14.27,12.86,22.15,7.93,7.24,6.9,12.26,12.25,17.56,14.15,4.92,31.66,Expressed in all low
BET1,ENSG00000105829,17.83,16.58,15.5,11.34,15.56,20.67,9.84,18.97,17.12,24.89,19.83,23.53,31.51,21.38,18.56,22.89,36.7,14.48,17.19,24.32,24.68,13.55,11.48,12.82,23.04,3.5,23.02,Expressed in all low
KRTAP4-2,ENSG00000244537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
CPAMD8,ENSG00000160111,0.19,2.55,0.19,0.08,12.33,9.31,0.66,0.08,0.82,0.13,0.14,0.27,1.05,0.14,1.74,1.55,3.3,1.04,0.12,0.83,6.48,0.17,1.44,0.04,0.23,0.09,0.3,Mixed high
C1QL3,ENSG00000165985,0.3,2.81,0.56,0.1,0.45,0.7,22.94,0.36,0.49,0.49,0.4,0.52,0.47,0.91,0.98,0.28,0.25,0.1,0.17,0.48,0.85,0.11,0.35,0.53,0.01,0.07,0.3,Moderately tissue enriched
SLC49A3,ENSG00000169026,3.64,3.6,1.79,1.81,7.31,4.33,0.64,8.48,6.63,2.45,4.03,4.07,1.77,3.78,4.58,2.34,3.14,7.99,3.4,3.44,3.49,3.71,3.71,6.06,0.41,1.88,4.64,Mixed low
SRGAP3,ENSG00000196220,2.46,4.58,1.1,0.97,2.35,4.97,21.21,2.34,1.64,2.26,2.39,1.59,6.49,1.24,1.57,4.05,1.49,7.25,2.25,7.99,4.44,3.15,2.46,3.59,5.87,0.57,3.61,Mixed high
AMIGO2,ENSG00000139211,5.83,7.69,3.22,1.77,21.78,7.28,2.93,2.57,17.85,14.48,8.55,6.04,22.25,3.89,7.68,22.25,14.1,15.56,25.21,26.12,3.31,5.26,4.39,0.91,23.08,2.69,4.08,Mixed high
PPT1,ENSG00000131238,44.66,52.3,29.64,20.16,91.69,59.54,79.96,42.87,135.65,76.35,87.35,34.48,51.42,26.46,36.92,63.52,58.1,37.49,54.19,73.35,53.09,43.63,31.18,29.49,59.42,65.08,38.58,Expressed in all high
H1-8,ENSG00000178804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,Moderately tissue enriched
TGDS,ENSG00000088451,8.59,9.37,14.47,3.18,6.43,7.09,3.77,9.36,7.85,11.76,8.85,8.55,10.03,9.0,8.36,7.97,8.16,6.34,7.73,9.91,13.27,7.14,4.17,5.35,10.37,3.14,5.7,Expressed in all low
GNA14,ENSG00000156049,6.13,6.76,3.82,0.65,6.35,6.1,2.7,1.35,6.08,3.48,4.4,2.12,2.42,1.7,2.38,11.74,6.26,2.31,6.09,7.54,20.99,5.72,1.68,0.81,6.07,0.06,6.22,Mixed high
OCEL1,ENSG00000099330,15.1,18.82,18.2,4.61,10.43,13.71,4.06,12.19,8.59,7.13,5.35,14.76,9.54,16.56,12.26,6.58,6.73,3.53,6.71,7.16,6.94,4.03,5.63,4.08,6.42,3.44,7.63,Expressed in all low
DEPTOR,ENSG00000155792,10.23,28.1,10.28,6.63,6.16,14.14,7.35,36.29,9.73,10.31,3.59,13.49,51.9,17.16,9.62,17.61,5.48,3.85,13.09,9.12,109.74,15.76,4.02,4.19,25.55,1.42,79.74,Expressed in all low
TAS2R41,ENSG00000221855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,Not detected
EPM2AIP1,ENSG00000178567,6.83,8.71,6.06,3.37,9.27,14.47,14.92,7.77,12.58,12.33,10.79,6.94,10.71,7.18,6.64,13.01,6.65,8.49,8.11,7.31,21.43,6.95,10.82,8.25,16.08,7.46,6.82,Expressed in all low
RAE1,ENSG00000101146,13.85,11.91,8.03,6.09,10.7,13.17,14.47,12.4,14.27,22.93,18.35,12.22,13.03,12.22,8.58,17.5,17.28,89.33,11.1,17.4,12.8,17.21,10.7,17.65,17.82,33.14,8.55,Expressed in all low
GINS2,ENSG00000131153,4.37,0.41,1.62,0.41,0.45,1.5,0.66,1.58,0.98,7.82,4.45,4.23,0.48,3.32,0.51,1.46,2.48,6.07,0.43,1.79,1.56,2.49,0.54,2.27,1.13,7.55,0.35,Mixed low
EBF1,ENSG00000164330,3.72,3.26,0.56,2.51,3.56,4.26,2.24,1.87,5.15,12.14,5.81,2.04,3.36,2.59,41.33,11.4,13.83,5.65,13.6,10.5,4.43,6.44,5.45,2.78,10.23,3.89,2.66,Mixed high
LSS,ENSG00000160285,19.29,12.94,24.03,10.21,30.12,28.55,21.91,17.74,9.97,12.33,14.37,11.57,27.7,27.83,28.05,15.84,12.06,27.21,14.38,15.91,11.07,24.31,18.68,50.04,33.45,6.2,10.86,Expressed in all low
VRK3,ENSG00000105053,18.82,22.66,14.49,7.59,17.41,17.36,11.97,19.42,20.5,25.56,19.96,29.19,15.24,25.46,11.2,14.63,16.27,82.87,22.2,20.18,21.25,12.56,10.67,10.91,18.57,14.01,14.45,Expressed in all low
CRY2,ENSG00000121671,10.24,22.25,18.97,17.98,26.29,20.87,32.75,15.15,14.87,10.67,10.73,11.81,19.92,11.05,27.27,22.15,13.55,32.93,21.46,14.95,37.26,16.2,45.74,20.44,37.16,19.44,17.47,Expressed in all high
PLCL2,ENSG00000154822,10.72,13.84,6.13,4.47,6.66,3.44,11.29,9.99,17.27,20.77,12.6,10.93,13.49,13.06,6.76,6.68,8.26,7.56,10.27,8.06,3.63,2.93,18.15,1.16,23.76,12.76,2.02,Expressed in all low
