EnsemblID,Gene type,Gene symbol,Section-related expressed,PCC with DS2 (human),PCC with DS2 (macaque),Section specificity in human (Log2FC),Section specificity in chimpanzee (Log2FC),Section specificity in macaque (Log2FC),Layer marker in human,Log2FC to other layers in human,Specificity score in human,Layer marker in chimpanzee,Log2FC to other layers in chimpanzee,Specificity score in chimpanzee,Layer marker in macaque,Log2FC to other layers in macaque,Specificity score in macaque,Correlation to human ISH pattern,Human-specific changed,Chimpanzee-specific changed,Macaque-specific changed,Type of lineage-specific change
ENSG00000004059.6,protein_coding,ARF5,TRUE,0.96522 ,0.93873 ,0.302273029,0.294403365,0.206694716,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004139.9,protein_coding,SARM1,TRUE,0.61992 ,0.18209 ,0.133820433,0.220749896,0.199167193,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004142.7,processed_transcript,POLDIP2,TRUE,0.98206 ,0.96769 ,0.066284449,0.145968428,0.166894787,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004399.8,protein_coding,PLXND1,TRUE,0.87107 ,0.59870 ,0.523204454,0.479327312,0.706911717,NA,NA,NA,No,NA,NA,L2,0.50145 ,0.15224 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000004455.12,protein_coding,AK2,TRUE,0.97064 ,0.93268 ,1.496483652,0.800037719,0.402325762,L6,0.632928045,0.84562 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004468.7,protein_coding,CD38,TRUE,0.98689 ,0.98471 ,1.190749455,1.21155697,2.118798898,NA,NA,NA,L6,0.63529 ,0.54938 ,L6,1.57830 ,0.76392 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000004478.5,protein_coding,FKBP4,TRUE,0.89973 ,0.96152 ,0.214874795,0.245982559,0.20726355,L4,0.281433828,0.36103 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004487.11,protein_coding,KDM1A,TRUE,0.90337 ,0.85434 ,0.137221886,0.109162451,0.068854116,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000004534.10,protein_coding,RBM6,FALSE,0.45569 ,0.66733 ,0.123026723,0.318068504,0.133770514,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004660.10,protein_coding,CAMKK1,TRUE,0.90390 ,0.97994 ,0.553530915,0.470076884,0.261842725,L2,0.74535119,0.41468 ,L2,0.51211 ,0.49939 ,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000004700.11,protein_coding,RECQL,TRUE,0.12422 ,0.98395 ,1.001527618,0.761580477,0.311898474,L6,0.574138331,0.73135 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000004766.11,protein_coding,CCDC132,TRUE,0.88134 ,0.92642 ,0.35568773,0.218328388,0.158688148,L5,0.441604665,0.44373 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000004776.7,protein_coding,HSPB6,TRUE,0.88572 ,0.97065 ,0.657244796,0.399110056,1.133800372,L2,0.842287367,0.28578 ,No,NA,NA,L3,1.18620 ,0.27352 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000004777.13,protein_coding,ARHGAP33,TRUE,-0.91116 ,0.78893 ,0.260203357,0.369371246,0.424639683,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004779.5,protein_coding,NDUFAB1,TRUE,-0.76431 ,0.85640 ,0.123235409,0.199347222,0.266929232,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004799.7,protein_coding,PDK4,TRUE,0.98687 ,0.91095 ,2.969085363,2.22792794,1.203773542,L6,2.082294333,0.94521 ,L6,1.13892 ,0.65270 ,L1,1.07985 ,0.22509 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000004838.9,protein_coding,ZMYND10,TRUE,0.72237 ,0.90142 ,0.632352291,0.594814492,0.544654887,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,TRUE,FALSE,T3
ENSG00000004848.6,protein_coding,ARX,TRUE,-0.66493 ,0.65470 ,0.336160801,0.399241942,0.393305732,NA,NA,NA,No,NA,NA,L2,0.34945 ,0.38988 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000004864.9,protein_coding,SLC25A13,TRUE,0.72241 ,0.98045 ,2.319585432,2.180144639,1.554989792,L6,1.172032837,0.82187 ,L6,1.18480 ,0.76224 ,L6,0.86419 ,0.74657 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000004866.14,protein_coding,ST7,TRUE,0.97971 ,0.71621 ,0.16372446,0.15404231,0.112436393,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000004897.6,protein_coding,CDC27,TRUE,0.66741 ,0.67050 ,0.208843557,0.129956114,0.13068743,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000004961.10,protein_coding,HCCS,TRUE,0.98070 ,0.77400 ,0.119809543,0.183759103,0.217252226,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000004975.7,protein_coding,DVL2,TRUE,-0.14889 ,0.86870 ,1.287695506,0.924466773,0.455977536,L6,0.497287607,0.84065 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000005001.5,protein_coding,PRSS22,TRUE,NA,NA,1.160844345,0.123666711,0.378150061,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T1
ENSG00000005007.8,protein_coding,UPF1,TRUE,-0.03881 ,0.07987 ,0.295635159,0.150777682,0.192923759,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005020.8,protein_coding,SKAP2,TRUE,0.76272 ,0.89816 ,0.170253995,0.23391019,0.168789922,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005022.5,protein_coding,SLC25A5,TRUE,0.34423 ,0.61164 ,0.188713316,0.230362087,0.306878974,NA,NA,NA,No,NA,NA,L4,0.27099 ,0.49437 ,NA,FALSE,FALSE,TRUE,T3
ENSG00000005059.11,protein_coding,CCDC109B,TRUE,0.75441 ,0.99177 ,0.950161368,0.898201306,1.308398194,NA,NA,NA,No,NA,NA,L6,0.52918 ,0.73093 ,NA,TRUE,FALSE,FALSE,T3
ENSG00000005075.11,protein_coding,POLR2J,TRUE,0.87855 ,0.02238 ,0.524334539,0.40491717,0.163752523,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005100.8,protein_coding,DHX33,TRUE,0.82370 ,0.79282 ,0.183819948,0.313926337,0.276733688,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005108.10,protein_coding,THSD7A,TRUE,0.88758 ,0.94538 ,2.117133933,1.288640962,1.554864808,L2,2.106808555,0.46853 ,L2,1.35459 ,0.57337 ,L2,1.62774 ,0.47022 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000005156.7,protein_coding,LIG3,FALSE,0.84053 ,0.81790 ,0.431310339,0.171847017,0.142203193,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005175.5,protein_coding,RPAP3,TRUE,0.50371 ,0.89112 ,0.135713631,0.127407141,0.295540984,NA,NA,NA,No,NA,NA,L4,0.28395 ,0.38353 ,NA,FALSE,FALSE,TRUE,T3
ENSG00000005189.15,protein_coding,AC004381.6,TRUE,NA,NA,0.387861345,0.278829158,0.151841862,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005194.10,protein_coding,CIAPIN1,TRUE,0.94349 ,0.95946 ,0.190171677,0.135488761,0.12915882,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005206.11,processed_transcript,SPPL2B,FALSE,-0.56568 ,0.94620 ,0.121054269,0.470430361,0.433378455,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005238.15,protein_coding,FAM214B,TRUE,-0.05128 ,0.58388 ,0.236339953,0.114467702,0.439938951,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000005243.5,protein_coding,COPZ2,TRUE,0.92285 ,0.96722 ,1.625797815,1.617166392,1.315105616,L1,1.175452053,0.63861 ,L1,0.99861 ,0.61507 ,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005249.8,protein_coding,PRKAR2B,TRUE,0.47471 ,0.93237 ,0.301347413,0.354064382,0.260929174,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000005302.13,protein_coding,MSL3,TRUE,-0.55095 ,0.89409 ,0.088702549,0.090202172,0.032935623,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005339.8,protein_coding,CREBBP,TRUE,0.36750 ,0.10069 ,0.178311704,0.21923919,0.247980795,NA,NA,NA,No,NA,NA,No,NA,NA,NA,TRUE,FALSE,FALSE,T3
ENSG00000005379.11,protein_coding,BZRAP1,TRUE,-0.96092 ,0.90659 ,0.293288384,0.359835523,0.383366863,NA,NA,NA,No,NA,NA,L2,0.28891 ,0.39062 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000005381.6,protein_coding,MPO,TRUE,NA,NA,0.689272694,0.362532185,1.28714193,L3,0.883329089,0.17823 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005436.9,protein_coding,GCFC2,TRUE,NA,NA,0.589428707,0.983128339,0.567058826,NA,NA,NA,No,NA,NA,No,NA,NA,NA,TRUE,FALSE,FALSE,T1
ENSG00000005448.12,protein_coding,WDR54,TRUE,0.94407 ,-0.26387 ,0.105804664,0.167969385,0.193552518,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000005469.7,protein_coding,CROT,TRUE,0.95116 ,0.48947 ,0.297679493,0.416398354,0.840274455,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005483.15,protein_coding,MLL5,TRUE,0.72967 ,0.44121 ,0.494188825,0.510090334,0.033740386,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005486.12,protein_coding,RHBDD2,TRUE,0.57794 ,0.92939 ,0.083473707,0.075395723,0.095794071,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005513.9,protein_coding,SOX8,TRUE,0.98406 ,0.94117 ,2.394531177,1.862226201,1.294053947,L6,1.295826915,0.86395 ,L6,0.85987 ,0.64669 ,L6,0.73405 ,0.88061 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000005700.10,protein_coding,IBTK,TRUE,0.52753 ,0.71771 ,0.735156204,0.655251663,0.306096575,L6,0.478137115,0.59038 ,L6,0.38309 ,0.49355 ,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000005801.12,protein_coding,ZNF195,FALSE,0.38446 ,0.00742 ,0.215432575,0.158526446,0.081257525,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005810.13,protein_coding,MYCBP2,TRUE,0.90183 ,0.97623 ,0.237540419,0.073253178,0.217911618,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T1
ENSG00000005812.6,protein_coding,FBXL3,TRUE,-0.71527 ,0.90422 ,0.502124666,0.228464562,0.13617334,L6,0.357063897,0.66872 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000005882.6,protein_coding,PDK2,TRUE,0.88529 ,0.75730 ,0.301045667,0.240553003,0.160775206,L2,0.344997829,0.35896 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000005884.13,protein_coding,ITGA3,TRUE,0.96508 ,0.83793 ,0.430608305,0.123062973,0.21274331,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005889.11,protein_coding,ZFX,TRUE,0.77577 ,0.93194 ,0.758522599,0.432270823,0.239222562,L6,0.394080222,0.59949 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000005893.11,protein_coding,LAMP2,TRUE,0.84163 ,0.96156 ,2.640529287,2.064591597,0.974787719,L6,1.691191378,0.84644 ,L6,1.22243 ,0.73347 ,L6,0.55575 ,0.81317 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000005955.8,protein_coding,GGNBP2,TRUE,0.66161 ,0.93622 ,0.19767854,0.121242401,0.171793157,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006007.7,protein_coding,GDE1,TRUE,0.73788 ,0.75175 ,0.376996258,0.340682029,0.251128387,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006015.13,protein_coding,C19orf60,TRUE,-0.68865 ,0.76861 ,0.376426715,0.479831938,0.200762654,NA,NA,NA,L4,0.62090 ,0.26831 ,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006016.6,protein_coding,CRLF1,TRUE,0.72582 ,0.96101 ,1.275916175,1.490040547,0.681837641,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000006025.7,protein_coding,OSBPL7,FALSE,0.24021 ,0.27245 ,0.21723993,0.572274504,0.17622767,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006042.7,protein_coding,TMEM98,TRUE,0.83565 ,0.95474 ,2.902712683,2.186722722,1.442519744,L6,2.11155032,0.87392 ,L6,1.26808 ,0.79111 ,L6,0.90717 ,0.66304 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000006062.9,processed_transcript,MAP3K14,TRUE,0.29244 ,0.83605 ,0.526327688,0.302596462,0.347429538,NA,NA,NA,No,NA,NA,L6,0.32689 ,0.38154 ,NA,TRUE,FALSE,FALSE,T3
ENSG00000006071.7,protein_coding,ABCC8,TRUE,0.85668 ,0.99832 ,0.371397598,0.189103971,0.681399613,L3,0.700053459,0.20710 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006075.11,protein_coding,CCL3,FALSE,NA,NA,1.529207003,0.111292739,0.231950843,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006114.11,protein_coding,SYNRG,TRUE,0.51623 ,0.88831 ,0.452307499,0.249189921,0.202466188,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000006116.3,protein_coding,CACNG3,TRUE,0.88397 ,0.97021 ,0.434574846,0.392528584,0.384123797,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006118.10,protein_coding,TMEM132A,TRUE,0.96429 ,0.14167 ,0.173628914,0.288809927,0.238898867,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006125.12,protein_coding,AP2B1,TRUE,0.77321 ,0.90596 ,0.083623031,0.080212173,0.110458455,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006128.7,protein_coding,TAC1,TRUE,-0.35943 ,0.76908 ,0.305710618,0.444706794,0.713467354,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006194.6,protein_coding,ZNF263,TRUE,0.62601 ,-0.50306 ,0.132568603,0.092464584,0.084899232,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006210.6,protein_coding,CX3CL1,TRUE,0.90842 ,0.90420 ,0.205436617,0.131917826,0.227984109,NA,NA,NA,No,NA,NA,No,NA,NA,NA,TRUE,FALSE,FALSE,T2
ENSG00000006282.14,protein_coding,SPATA20,TRUE,-0.57529 ,0.94920 ,0.146970613,0.212877044,0.51180586,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006283.13,protein_coding,CACNA1G,TRUE,0.82456 ,0.87547 ,0.543383278,0.493031991,0.770878338,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006327.9,protein_coding,TNFRSF12A,TRUE,0.95403 ,-0.74827 ,0.955898517,1.048070661,1.118696483,NA,NA,NA,No,NA,NA,L1,0.92525 ,0.58968 ,NA,FALSE,TRUE,FALSE,T2
ENSG00000006377.9,protein_coding,DLX6,TRUE,0.60845 ,0.98093 ,0.524248696,0.700115078,0.618211058,NA,NA,NA,L2,0.86471 ,0.52528 ,L2,0.70020 ,0.32800 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000006432.11,protein_coding,MAP3K9,TRUE,0.90885 ,0.96044 ,0.489397098,0.311345064,0.326590501,NA,NA,NA,No,NA,NA,L4,0.53452 ,0.23830 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000006451.3,protein_coding,RALA,TRUE,0.88262 ,0.27694 ,0.520961418,0.319653085,0.18207399,L6,0.405660624,0.62560 ,L6,0.24687 ,0.60382 ,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006459.6,protein_coding,JHDM1D,TRUE,-0.40281 ,0.86801 ,0.375948687,0.27848806,0.251874125,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000006468.9,protein_coding,ETV1,TRUE,0.87392 ,0.96841 ,1.032500103,0.794369151,0.917432581,L5,0.998579711,0.35986 ,L5,0.81967 ,0.36215 ,L5,0.66157 ,0.40473 ,0.84076 ,FALSE,TRUE,FALSE,T2
ENSG00000006530.11,protein_coding,AGK,TRUE,0.89318 ,0.93857 ,0.224584348,0.236771299,0.315483656,NA,NA,NA,No,NA,NA,L3,0.23638 ,0.45019 ,NA,FALSE,FALSE,FALSE,NA
